adm_cd2,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9,total_10,total_11,total_12,total_13,total_14,total_15,total_16,total_17,total_18,total_19,total_20,total_21,total_22,total_23,male_0,male_1,male_2,male_3,male_4,male_5,male_6,male_7,male_8,male_9,male_10,male_11,male_12,male_13,male_14,male_15,male_16,male_17,male_18,male_19,male_20,male_21,male_22,male_23,female_0,female_1,female_2,female_3,female_4,female_5,female_6,female_7,female_8,female_9,female_10,female_11,female_12,female_13,female_14,female_15,female_16,female_17,female_18,female_19,female_20,female_21,female_22,female_23,total_avg,male_avg,female_avg,gu,lat,lng
11110515,14939.927744444443,14970.04557037037,15001.177514814815,15016.909244444441,15103.426444444443,15157.896014814813,15571.958466666669,16797.479614814816,17824.066233333335,18101.97568518519,18706.271096296296,19104.41938518519,19153.851059259254,19218.812992592593,19305.63723333333,19166.258318518514,18148.741459259258,16789.023244444437,15581.062777777775,15225.489985185182,15136.866059259257,14512.029714814815,14374.535155555557,14873.145225925922,7019.3879703703715,7050.832122222221,7077.320388888889,7087.447033333333,7126.943077777778,7190.391618518519,7572.146722222224,8485.81607037037,9093.137925925925,9109.496144444445,9393.30757037037,9526.643955555557,9450.163422222224,9452.049607407407,9410.438451851851,9395.979907407407,8962.870018518519,8214.510885185186,7529.540733333333,7296.4270259259265,7196.237403703703,6959.913948148148,6939.771277777777,6968.331425925927,7920.539944444445,7919.213125925927,7923.857377777778,7929.462074074073,7976.483292592591,7967.504233333333,7999.811718518518,8311.66374074074,8730.92824074074,8992.479603703703,9312.96351851852,9577.775203703704,9703.687740740741,9766.76337037037,9895.198640740742,9770.278392592592,9185.871455555554,8574.51248888889,8051.521896296297,7929.062974074074,7940.628444444445,7552.115851851851,7434.763703703705,7904.8137777777765,16574.208593364197,8062.879362808642,8511.329200462962,11110,37.58476763,126.96902879999999
11110530,15325.120792592592,14847.985840740741,14533.846018518518,14441.801296296297,14588.89065925926,15328.157125925925,17218.68823703704,21341.691159259262,29321.433662962965,34140.61571111112,37318.6375037037,41279.50782592593,43548.05414444444,44774.579033333335,45243.763662962956,43877.70911851852,41637.67272962962,39547.9759925926,36315.38258518518,32418.407259259253,29120.76637407407,25075.28044074074,20834.24978148148,16424.576822222218,7367.700614814815,7051.584437037038,6861.398429629629,6828.666348148147,6878.873581481482,7255.770111111111,8400.811296296295,10915.251188888888,14636.614122222221,16869.23774074074,18189.189296296296,20102.74762962963,21180.306855555555,21809.305366666664,22052.237477777777,21404.012566666664,20157.127174074078,19068.848955555557,17771.98897037037,15807.705366666669,14178.522374074073,12183.251462962966,10153.395344444445,7958.202977777778,7957.42028888889,7796.4014777777775,7672.447740740741,7613.1351185185185,7710.017177777778,8072.386614814815,8817.876996296296,10426.440003703703,14684.819551851853,17271.378118518518,19129.448185185185,21176.75992222222,22367.74722222222,22965.273614814818,23191.52624814815,22473.69662962963,21480.54558888889,20479.126914814813,18543.39342962963,16610.70168148148,14942.243811111108,12892.029185185185,10680.854714814814,8466.373870370371,28687.699740740743,13961.781237037037,14725.91850447531,11110,37.57389798,126.96992250000001
11110540,4778.180711111111,4782.639962962963,4799.724514814815,4829.40482962963,4891.396751851851,4964.938562962962,5117.357507407408,5678.025507407407,6313.280907407409,7168.018722222222,7832.890659259259,8625.071814814815,9029.89497037037,9272.829096296296,9372.092218518519,9065.656396296295,8523.713870370373,7643.161022222221,6566.89754814815,5938.746388888889,5301.481751851852,4676.103948148149,4437.453166666668,4852.631159259259,2482.9021333333335,2484.7094518518516,2496.7549407407405,2511.7808555555557,2546.9124925925926,2607.5216962962963,2765.1288444444444,3123.041840740741,3435.4676703703713,3777.55202962963,4070.7413,4435.753325925926,4530.951140740741,4586.424048148148,4639.212822222223,4479.26735925926,4246.360588888889,3826.258181481481,3289.0092037037034,3001.1112370370374,2714.2332555555554,2420.8686333333335,2334.135618518518,2531.190525925926,2295.278577777778,2297.9304777777775,2302.9695407407403,2317.6239333333333,2344.484151851852,2357.416988888889,2352.2287444444446,2554.98362962963,2877.813222222222,3390.4667814814816,3762.1493555555558,4189.318611111112,4498.943833333334,4686.405070370371,4732.879307407407,4586.389059259259,4277.353433333333,3816.9027407407416,3277.888303703703,2937.6352333333334,2587.2485259259265,2255.2352407407407,2103.3175666666666,2321.4406000000004,6435.899666203703,3305.7203831790125,3130.1792887345678,11110,37.58604529,126.98153149999999
11110550,16285.61559259259,16390.162125925926,16481.61728148148,16514.52017037037,16562.499466666664,16660.228925925927,16713.951281481484,16767.728533333335,16471.74811111111,16145.616137037034,16138.096470370372,16005.80958888889,15821.785551851852,15594.295544444445,15499.67472592593,15368.60184814815,15138.57837037037,14894.682196296297,15042.422148148145,15199.545381481481,15558.247003703707,16002.375877777782,16659.2737962963,15946.837999999998,7457.28501111111,7505.896137037036,7543.720692592591,7572.920885185185,7605.994362962963,7692.853296296296,7756.437988888889,7648.920962962963,7378.071377777776,7222.571033333333,7239.0598407407415,7186.104318518518,7094.256666666666,6975.028159259259,6956.673637037036,6911.12517037037,6816.754270370369,6696.1519,6744.879622222222,6762.023822222221,6941.336622222222,7176.974211111111,7509.894314814815,7297.744892592593,8828.33058888889,8884.265974074075,8937.896637037036,8941.599325925927,8956.50528148148,8967.375459259261,8957.513337037037,9118.807599999998,9093.67658148148,8923.045225925925,8899.036633333333,8819.705274074075,8727.528740740741,8619.267085185187,8543.001166666665,8457.476566666666,8321.82428148148,8198.530292592593,8297.542433333332,8437.521692592592,8616.910751851852,8825.401740740741,9149.37944814815,8649.093159259259,15994.329755401233,7237.194966512344,8757.13480324074,11110,37.595435200000004,126.96430020000001
11110560,19588.108233333332,19648.959959259257,19654.5399,19702.4372,19765.942881481482,19902.80260740741,19994.05596666666,19658.521303703707,18991.50535185185,18368.357933333333,17945.463448148148,17721.300122222216,17581.49134444445,17017.99999259259,16646.064692592594,16520.858088888886,16586.694111111112,16371.631255555558,16358.546922222224,16688.50978518519,17147.99855185185,17699.41872962963,18240.88259629629,19529.647718518525,8916.691137037038,8962.666125925925,8973.380055555555,8993.040962962965,9041.269496296298,9190.840151851853,9250.438248148148,8945.776670370371,8449.94424814815,8171.484014814816,8068.544355555556,8040.983100000001,7989.710318518518,7703.842059259259,7584.760166666667,7534.249411111113,7535.260007407406,7338.760985185186,7303.8637,7415.509896296297,7655.315892592593,7983.093625925925,8289.542188888889,8886.474503703703,10671.417044444444,10686.293892592594,10681.159896296294,10709.39631851852,10724.673396296295,10711.96277037037,10743.61754074074,10712.744403703704,10541.561200000002,10196.873833333331,9876.9192,9680.317144444445,9591.78062962963,9314.15784814815,9061.304725925926,8986.60875925926,9051.434385185186,9032.87018888889,9054.683433333334,9272.999829629629,9492.68278888889,9716.325088888889,9951.340114814815,10643.17331111111,18222.155779012344,8259.393388425926,9962.762406018517,11110,37.61367522,126.9688622
11110570,8744.206707407408,8797.084262962962,8812.146329629628,8864.383607407404,8975.55657037037,8852.036285185186,8823.131651851852,8431.795433333333,7718.119140740739,7164.766451851853,6732.542440740739,6328.316611111111,5867.665688888887,5739.40245925926,5632.889922222223,5640.73614074074,5754.734251851852,5738.37392962963,5916.7319592592585,6148.898925925926,6518.401851851853,7055.368477777777,7622.59748148148,8755.408148148148,3914.9448037037037,3942.5223296296294,3966.5867000000003,3983.3110370370373,4015.294551851852,3970.519122222222,3957.678025925926,3855.410911111111,3416.931159259259,3193.3179074074083,3006.0122666666666,2826.6895888888894,2604.616766666667,2528.1016333333337,2472.2150851851857,2462.230785185185,2499.1598481481483,2494.9128333333333,2630.701562962963,2755.8375444444437,2918.69567037037,3154.4090333333334,3442.9093962962966,3916.451807407408,4829.261781481482,4854.561966666667,4845.5592703703705,4881.072425925926,4960.261785185185,4881.5173444444445,4865.453714814815,4576.384625925925,4301.188037037036,3971.448611111111,3726.530407407407,3501.6271444444446,3263.0488740740743,3211.300759259259,3160.6749148148147,3178.5053259259257,3255.5745074074075,3243.4612592592594,3286.0303481481483,3393.061525925926,3599.706166666667,3900.959462962963,4179.688174074074,4838.956225925926,7276.470613734567,3247.0608487654317,4029.409777469136,11110,37.5773292,126.95819850000001
11110580,7388.629503703703,7490.108940740741,7487.929070370369,7631.372362962964,7717.488496296296,7623.8122814814815,7758.560777777778,7617.852711111111,7355.036803703704,7273.737607407406,7197.10361851852,7157.513874074074,6993.122918518517,6842.884048148149,6991.94012222222,7145.732507407408,6977.070940740742,6961.059081481482,7089.7011,7291.9864592592585,7527.670618518518,7682.207637037036,8148.929674074075,7395.251777777776,3397.293162962963,3455.2952555555553,3451.857685185185,3528.714488888889,3585.523992592593,3532.0146666666674,3655.399414814815,3590.488262962963,3524.3121814814817,3480.366374074074,3415.0939444444443,3391.716085185185,3305.8871666666664,3261.178937037037,3305.2340296296297,3359.03272962963,3237.820074074074,3201.050185185185,3294.156648148148,3373.672174074074,3488.50997037037,3526.795022222222,3735.3343962962963,3411.1417999999994,3991.3362962962965,4034.8135333333335,4036.071314814815,4102.657962962962,4131.964603703704,4091.797377777778,4103.161318518519,4027.3645074074075,3830.7246370370367,3793.371366666667,3782.0096814814815,3765.7978296296296,3687.235674074074,3581.7049888888896,3686.706129629629,3786.6999111111113,3739.2509666666665,3760.0089148148145,3795.5444333333326,3918.3142,4039.1609481481482,4155.412707407407,4413.595318518518,3984.109740740741,7364.445955555555,3437.82869367284,3926.617265123457,11110,37.57122798,126.96430959999999
11110600,5460.01422962963,5478.131177777777,5493.877055555555,5486.383796296297,5519.312396296295,5578.155107407407,6003.239122222222,8271.354362962964,9950.472722222223,11079.034637037035,11808.819862962966,12037.597333333335,12361.96645925926,12447.43335185185,12379.71261111111,11884.25321851852,11088.725777777778,9840.6421,8105.388029629628,7126.92118888889,6513.176118518518,5953.722151851853,5503.511211111112,5505.017025925926,2551.0645185185185,2561.383444444444,2569.3092296296295,2563.467888888889,2572.3675962962966,2603.6631592592594,2923.9943185185184,4692.5975,5646.120444444443,6105.314855555556,6416.045411111111,6459.856092592593,6619.470788888889,6693.564659259258,6637.3896444444445,6429.803262962963,5995.243003703705,5197.8921407407415,4072.727125925926,3524.2028851851846,3185.740274074074,2885.847255555555,2658.662933333333,2589.222740740741,2908.9496925925923,2916.747822222222,2924.5678703703707,2922.915940740741,2946.945003703703,2974.491877777778,3079.244874074074,3578.7567333333336,4304.352422222222,4973.71991111111,5392.774244444444,5577.741181481482,5742.495655555556,5753.868777777777,5742.323000000001,5454.449937037036,5093.482781481481,4642.750007407407,4032.660759259259,3602.718296296297,3327.4359185185185,3067.8749925925927,2844.8482111111116,2915.7942407407404,8369.869210339506,4339.789632253086,4030.079589660494,11110,37.58403424,126.986305
11110615,27968.486922222222,26166.071259259254,24916.941548148145,23929.355899999995,23936.580937037037,24632.600162962968,28213.87256666668,39255.12222592592,62408.2882074074,82120.2865851852,95855.8928111111,111209.84497777779,123090.1872148148,129381.58614444446,132738.38940370374,131615.81194814813,127301.30916666664,120983.01472962965,107433.55742222222,92657.40125925926,78939.49997037035,63304.76315555557,46447.42416666667,31836.411322222226,17035.64421851852,15894.28728148148,15063.013666666668,14373.003455555554,14115.826144444443,14447.228414814816,16710.562044444447,23941.310918518513,36520.51890740741,46149.86217037037,52958.717222222214,60850.29184074074,66738.36373703703,69586.23894814815,71423.27663703704,70819.03313333333,69016.11713333335,66136.19725555555,59195.86621481481,51505.993511111104,44134.80167037037,35967.939918518525,27378.769281481484,19345.331107407408,10932.842774074074,10271.783907407407,9853.92793703704,9556.352377777777,9820.754651851852,10185.37172962963,11503.31042962963,15313.811514814814,25887.769496296292,35970.42436296296,42897.175814814815,50359.55331851852,56351.82359259259,59795.34723333333,61315.11260000001,60796.778562962965,58285.19220370369,54846.81755185184,48237.69134814815,41151.40775925926,34804.69828888888,27336.823381481478,19068.654803703703,12491.080433333333,73180.94583364198,40804.50811805556,32376.43775308642,11110,37.57778883,126.9892555
11110630,11248.573233333334,11037.776770370368,10913.607085185184,10821.787281481482,11006.826840740741,11241.442618518518,12051.43995185185,14125.835740740737,18954.43615925926,23140.59971851851,26832.599514814818,30287.57467037037,32236.6870037037,33381.36654444444,33525.55385555555,32538.633662962966,30604.072066666668,27364.306885185182,22901.11032592592,19973.578692592593,17564.868666666665,15285.187385185187,13236.436577777773,11582.551737037034,6083.060044444444,5963.2913148148145,5888.1066851851865,5847.033466666667,5942.834944444445,6102.650448148147,6740.718855555555,8147.211355555555,10947.133796296297,12873.737259259258,14437.683414814812,16002.880596296298,16756.968014814815,17138.91115185185,17106.296755555555,16636.072703703703,15944.628677777779,14609.073322222222,12486.916925925925,10854.178218518517,9447.160762962962,8188.805818518518,7144.115229629629,6287.105859259259,5165.513374074073,5074.485433333334,5025.500333333333,4974.753922222222,5063.991874074074,5138.791974074074,5310.720996296296,5978.624466666667,8007.302425925926,10266.862381481482,12394.916155555555,14284.694011111114,15479.719037037039,16242.455329629627,16419.25709259259,15902.56092962963,14659.443314814813,12755.233522222225,10414.193366666666,9119.400637037037,8117.707748148148,7096.381518518518,6092.321462962963,5295.44572962963,20077.368874537035,10732.357317592592,9345.011543209876,11110,37.57315019,127.00406480000001
