time,pop
total_Apr_0,10614529
total_Apr_1,10603447
total_Apr_2,10596131
total_Apr_3,10591645
total_Apr_4,10594751
total_Apr_5,10600941
total_Apr_6,10632614
total_Apr_7,10741951
total_Apr_8,10885562
total_Apr_9,10991702
total_Apr_10,11046498
total_Apr_11,11081252
total_Apr_12,11112304
total_Apr_13,11145091
total_Apr_14,11164708
total_Apr_15,11169722
total_Apr_16,11162178
total_Apr_17,11151885
total_Apr_18,11100640
total_Apr_19,11003038
total_Apr_20,10929068
total_Apr_21,10856946
total_Apr_22,10766675
total_Apr_23,10648789
male_Apr_0,5034082
male_Apr_1,5026715
male_Apr_2,5022023
male_Apr_3,5019394
male_Apr_4,5020786
male_Apr_5,5023958
male_Apr_6,5041310
male_Apr_7,5097566
male_Apr_8,5157000
male_Apr_9,5199470
male_Apr_10,5218132
male_Apr_11,5228352
male_Apr_12,5240215
male_Apr_13,5255849
male_Apr_14,5267104
male_Apr_15,5273558
male_Apr_16,5277354
male_Apr_17,5280876
male_Apr_18,5265689
male_Apr_19,5223564
male_Apr_20,5190085
male_Apr_21,5157489
male_Apr_22,5113875
male_Apr_23,5053375
female_Apr_0,5580246
female_Apr_1,5576518
female_Apr_2,5573898
female_Apr_3,5572042
female_Apr_4,5573747
female_Apr_5,5576755
female_Apr_6,5591110
female_Apr_7,5644170
female_Apr_8,5728365
female_Apr_9,5792014
female_Apr_10,5828156
female_Apr_11,5852689
female_Apr_12,5871883
female_Apr_13,5889025
female_Apr_14,5897401
female_Apr_15,5895933
female_Apr_16,5884602
female_Apr_17,5870798
female_Apr_18,5834737
female_Apr_19,5779266
female_Apr_20,5738783
female_Apr_21,5699222
female_Apr_22,5652593
female_Apr_23,5595219
total_Apr_avg,10883002.79
male_Apr_avg,10883002.79
female_Apr_avg,10883002.79
total_Aug_0,10418937
total_Aug_1,10406784
total_Aug_2,10400127
total_Aug_3,10395480
total_Aug_4,10395383
total_Aug_5,10399304
total_Aug_6,10427368
total_Aug_7,10534537
total_Aug_8,10685160
total_Aug_9,10790333
total_Aug_10,10848597
total_Aug_11,10883584
total_Aug_12,10914632
total_Aug_13,10945760
total_Aug_14,10964535
total_Aug_15,10970415
total_Aug_16,10962365
total_Aug_17,10945802
total_Aug_18,10881869
total_Aug_19,10777602
total_Aug_20,10706195
total_Aug_21,10643106
total_Aug_22,10559737
total_Aug_23,10454158
male_Aug_0,4948853
male_Aug_1,4941207
male_Aug_2,4936994
male_Aug_3,4934047
male_Aug_4,4933156
male_Aug_5,4935344
male_Aug_6,4952236
male_Aug_7,5006503
male_Aug_8,5069516
male_Aug_9,5112337
male_Aug_10,5133661
male_Aug_11,5143928
male_Aug_12,5155541
male_Aug_13,5169649
male_Aug_14,5179596
male_Aug_15,5185249
male_Aug_16,5188304
male_Aug_17,5187954
male_Aug_18,5166129
male_Aug_19,5120670
male_Aug_20,5088572
male_Aug_21,5060507
male_Aug_22,5021497
male_Aug_23,4968861
female_Aug_0,5469883
female_Aug_1,5465377
female_Aug_2,5462938
