year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
2016,2,경춘선,가평,0,0,393,39,919,522,2392,1436,2918,4336,2740,3233,3374,3978,8124,6325,5404,9074,4454,5601,4564,6152,5454,5591,6345,3493,5502,4449,5389,2963,2200,3506,1306,2092,921,1683,564,1421,298,1209,2,422,0,0,0,0,0,0,67525,65279,37.814536,127.51073899999999
2016,2,과천선,정부과천청사,14,1,1744,1413,5311,6738,16920,22310,17357,64924,15993,23015,12962,16589,14043,15324,15919,12143,21203,14849,21065,14107,18267,13466,20016,13796,26036,17417,48146,21254,23186,22945,15930,12907,18288,10708,10845,10115,3815,6715,644,1901,0,1,0,0,0,0,322638,329706,37.426513,126.98978000000001
2016,2,분당선,수서,53,4,2800,1480,5968,5468,17154,12449,23476,31676,15995,13911,11295,8881,11010,8106,11494,8455,12094,9092,11220,9364,11311,10254,11936,11459,16210,13547,24836,18962,12843,19173,8462,13385,8328,12548,5488,12727,2509,8273,149,1387,1,11,0,0,0,0,230612,226595,37.487371,127.10188000000001
2016,2,분당선,수서,53,4,2800,1480,5968,5468,17154,12449,23476,31676,15995,13911,11295,8881,11010,8106,11494,8455,12094,9092,11220,9364,11311,10254,11936,11459,16210,13547,24836,18962,12843,19173,8462,13385,8328,12548,5488,12727,2509,8273,149,1387,1,11,0,0,0,0,230612,226595,37.487371,127.10188000000001
2016,2,분당선,수서,53,4,2800,1480,5968,5468,17154,12449,23476,31676,15995,13911,11295,8881,11010,8106,11494,8455,12094,9092,11220,9364,11311,10254,11936,11459,16210,13547,24836,18962,12843,19173,8462,13385,8328,12548,5488,12727,2509,8273,149,1387,1,11,0,0,0,0,230612,226595,37.487371,127.10188000000001
2016,2,분당선,수서,53,4,2800,1480,5968,5468,17154,12449,23476,31676,15995,13911,11295,8881,11010,8106,11494,8455,12094,9092,11220,9364,11311,10254,11936,11459,16210,13547,24836,18962,12843,19173,8462,13385,8328,12548,5488,12727,2509,8273,149,1387,1,11,0,0,0,0,230612,226595,37.487371,127.10188000000001
2016,2,3호선,수서,76,3,3829,875,10853,7603,27504,16257,29839,40275,21131,19447,17156,14085,17529,12686,18508,12833,18707,13663,17400,14471,18253,16071,18893,17754,22574,20556,32569,26438,17208,28383,11433,20162,10447,17848,6676,19339,2730,11322,322,5506,7,320,0,16,0,0,335913,325584,37.487371,127.10188000000001
2016,2,3호선,수서,76,3,3829,875,10853,7603,27504,16257,29839,40275,21131,19447,17156,14085,17529,12686,18508,12833,18707,13663,17400,14471,18253,16071,18893,17754,22574,20556,32569,26438,17208,28383,11433,20162,10447,17848,6676,19339,2730,11322,322,5506,7,320,0,16,0,0,335913,325584,37.487371,127.10188000000001
2016,2,3호선,수서,76,3,3829,875,10853,7603,27504,16257,29839,40275,21131,19447,17156,14085,17529,12686,18508,12833,18707,13663,17400,14471,18253,16071,18893,17754,22574,20556,32569,26438,17208,28383,11433,20162,10447,17848,6676,19339,2730,11322,322,5506,7,320,0,16,0,0,335913,325584,37.487371,127.10188000000001
2016,2,3호선,수서,76,3,3829,875,10853,7603,27504,16257,29839,40275,21131,19447,17156,14085,17529,12686,18508,12833,18707,13663,17400,14471,18253,16071,18893,17754,22574,20556,32569,26438,17208,28383,11433,20162,10447,17848,6676,19339,2730,11322,322,5506,7,320,0,16,0,0,335913,325584,37.487371,127.10188000000001
2016,2,분당선,강남구청,18,0,988,528,2238,4007,6475,11940,9369,44734,7920,34476,7276,17552,9145,12989,9839,13041,11750,14727,12845,14009,14074,13585,14563,14320,18271,14062,39380,17216,24433,14953,15536,8023,13594,6757,10598,7006,4363,4299,153,1073,0,12,0,0,0,0,269309,234826,37.517185999999995,127.04128
2016,2,분당선,강남구청,18,0,988,528,2238,4007,6475,11940,9369,44734,7920,34476,7276,17552,9145,12989,9839,13041,11750,14727,12845,14009,14074,13585,14563,14320,18271,14062,39380,17216,24433,14953,15536,8023,13594,6757,10598,7006,4363,4299,153,1073,0,12,0,0,0,0,269309,234826,37.517185999999995,127.04128
2016,2,분당선,강남구청,18,0,988,528,2238,4007,6475,11940,9369,44734,7920,34476,7276,17552,9145,12989,9839,13041,11750,14727,12845,14009,14074,13585,14563,14320,18271,14062,39380,17216,24433,14953,15536,8023,13594,6757,10598,7006,4363,4299,153,1073,0,12,0,0,0,0,269309,234826,37.517185999999995,127.04128
2016,2,분당선,강남구청,18,0,988,528,2238,4007,6475,11940,9369,44734,7920,34476,7276,17552,9145,12989,9839,13041,11750,14727,12845,14009,14074,13585,14563,14320,18271,14062,39380,17216,24433,14953,15536,8023,13594,6757,10598,7006,4363,4299,153,1073,0,12,0,0,0,0,269309,234826,37.517185999999995,127.04128
2016,2,7호선,강남구청,9,0,1692,1332,3986,10225,6957,26269,10016,96970,9424,80230,9349,34582,11800,22945,14651,20254,17327,22366,20270,19364,25105,18345,26027,17821,32455,17616,70183,19479,51538,15804,34713,9891,32649,8096,26294,6598,11294,4660,1898,1960,5,30,0,5,0,0,454842,419649,37.517185999999995,127.04128
2016,2,7호선,강남구청,9,0,1692,1332,3986,10225,6957,26269,10016,96970,9424,80230,9349,34582,11800,22945,14651,20254,17327,22366,20270,19364,25105,18345,26027,17821,32455,17616,70183,19479,51538,15804,34713,9891,32649,8096,26294,6598,11294,4660,1898,1960,5,30,0,5,0,0,454842,419649,37.517185999999995,127.04128
2016,2,7호선,강남구청,9,0,1692,1332,3986,10225,6957,26269,10016,96970,9424,80230,9349,34582,11800,22945,14651,20254,17327,22366,20270,19364,25105,18345,26027,17821,32455,17616,70183,19479,51538,15804,34713,9891,32649,8096,26294,6598,11294,4660,1898,1960,5,30,0,5,0,0,454842,419649,37.517185999999995,127.04128
