year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2016,7,수인선,월곶,3,0,1185,274,4374,1621,9322,2584,8790,3203,5432,2423,4345,2598,4185,3391,4240,3490,4375,3716,3876,3830,3964,4012,4365,4578,4851,5992,6650,8106,3847,6948,3069,5457,2179,5298,1659,4986,879,3071,23,636,0,0,0,0,0,0,76214,83626
2016,7,수인선,소래포구,4,0,1998,458,5973,1827,14028,3371,11288,5809,6401,5600,5705,6554,6221,11299,8003,12635,9783,10802,11524,10225,12719,9975,12837,9281,11767,10423,10364,11701,7219,10615,5951,7307,5499,6750,4877,5709,2396,3863,148,1085,0,0,0,0,0,0,145289,156717
2016,7,수인선,인천논현,0,0,2243,1013,6019,3743,15630,8155,13911,15780,8601,10658,8367,7591,8081,8156,9048,9625,9417,10993,9363,9923,9721,10641,11316,11855,13036,15090,15112,18352,10931,15091,9639,10585,10007,9172,8301,7646,4728,4439,368,1144,0,0,0,0,0,0,189652,185855
2016,7,수인선,남동인더스파크,1,0,590,276,968,2542,1427,19091,2295,19821,1949,2815,1618,1594,1798,1795,1804,1489,2268,1647,2230,1431,2691,1150,2878,1185,9567,1650,12204,1966,5586,2543,5607,2301,3113,1242,926,944,418,474,28,108,0,0,0,0,0,0,66064,61981
2016,7,수인선,호구포,1,0,1322,658,3078,3779,6316,17234,6919,20378,4349,4558,3428,3073,3536,3208,4402,3205,4267,3427,4104,3317,4468,3789,5132,4033,10337,5294,13300,7051,7905,5849,7441,4461,5377,3891,3347,3326,1375,2024,141,571,0,0,0,0,0,0,103126,102560
2016,7,수인선,원인재,3,0,3682,723,8105,2300,17244,5072,16471,8441,9510,4894,7284,4256,7072,4733,7765,5730,7503,6244,6520,5999,6641,7145,7043,8588,8264,11408,8572,15279,6428,13076,5126,10821,4649,10945,3640,9360,2028,6115,331,1836,0,0,0,0,0,0,142965,145894
2016,7,수인선,연수,14,1,2123,372,4976,2204,14607,4574,12505,11021,7033,8623,6256,6195,6661,5906,7722,6888,7810,8020,7264,7233,7207,7399,8728,8541,9680,10878,11637,16319,7852,12119,6813,10290,8380,8337,6555,6294,3406,3909,308,1122,0,0,0,0,0,0,146245,149539
2016,7,수인선,송도,4,0,1682,228,4433,1314,12354,2606,11817,4811,5802,2655,4360,2855,4725,3178,5541,3791,5439,3955,4592,4151,4476,4780,4596,5837,5338,7104,5156,10525,3469,7730,2475,6213,2040,5881,1457,5615,725,3911,30,918,0,0,0,0,0,0,88058,92523
2016,7,수인선,인하대,5,0,1871,398,5410,1646,12883,3811,10946,8623,5408,4968,4459,4346,5619,4177,6311,5439,5937,5300,5868,5293,6219,5414,7891,6558,9308,8663,8136,12251,5182,8460,3827,6550,3393,6940,3287,5898,2270,3738,74,789,0,0,0,0,0,0,109262,116315
2016,7,수인선,숭의,4,0,1565,528,3749,1774,7506,5267,6784,8999,3872,3532,3902,2882,4124,2995,4544,3145,4232,3612,4004,3358,3833,3470,4552,4569,6696,5231,7402,6980,3770,4829,2961,3962,2243,3869,1370,3266,791,2100,22,389,0,0,0,0,0,0,74757,79938
2016,7,수인선,신포,15,0,600,109,1298,1002,2936,3323,2337,7510,1678,2925,1529,1950,2010,2453,2633,2742,2706,2547,2765,2676,3224,2395,3561,2780,4230,3292,5753,4526,2925,2984,2401,2284,2200,1696,1372,1413,606,865,5,294,0,0,0,0,0,0,49766,48785
2016,7,안산선,대야미,14,0,2105,1279,6552,3815,14122,5396,14677,9368,8513,5425,6459,3806,5906,4285,5938,4484,6486,4193,5726,4481,5431,5052,6171,6364,7973,7673,10850,10820,6531,9668,4558,7505,4331,7469,2906,7320,1160,4419,348,1947,0,2,0,0,0,0,114771,128759
2016,7,수인선,인천,52,1,363,67,760,860,1708,1853,1654,2570,1413,1861,1613,3198,1338,4869,1968,5981,2632,5366,3013,5136,3297,4320,3193,3971,2968,3743,2616,3753,1733,2886,1369,1997,1353,1639,517,1077,150,715,2,330,0,1,0,0,0,0,56194,35676
2016,7,안산선,산본,525,3,10428,2060,27769,7356,66345,17693,56013,34462,32226,27773,26390,21353,26161,23772,27545,27738,27495,31010,24903,29251,26800,30926,31461,32677,34174,41686,38046,62577,28954,69891,23578,44412,23767,36221,23285,30973,9722,21643,2079,10019,8,933,0,0,0,0,604429,569165
2016,7,안산선,반월,8,0,3583,1720,9961,4122,20292,5935,20452,7265,12833,4672,9579,4234,8560,4507,8261,5000,8401,5726,6814,6482,6210,6897,6946,9379,8634,11103,10214,14836,7203,14314,4858,11257,3703,10951,2393,10879,1181,6162,318,2916,0,5,0,0,0,0,148362,162412
2016,7,안산선,상록수,314,8,16012,4277,41383,11220,100270,17379,86064,26012,49919,18157,36203,13986,32460,15442,32223,17860,29356,20373,24158,22083,23464,27109,25496,33127,30930,43083,30357,70863,22198,75394,17578,55925,15386,52951,11504,47011,5816,29977,1337,15037,0,13,0,0,0,0,617287,634130
2016,7,안산선,한대앞,172,2,6910,1233,18063,4893,34076,8188,28905,19780,18525,13793,14987,8660,14032,8709,14297,10022,14092,10592,11762,10858,12454,12808,13546,13698,18175,18982,19786,28873,12126,29114,9408,20544,9028,17817,7002,17094,2934,10971,655,5261,2,35,0,0,0,0,271927,282781
