year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2017,1,1호선,시청,64,4,2241,4148,3335,18929,6717,68001,8419,165966,11204,77187,14863,39575,20292,38787,23135,38405,29685,46785,37071,44045,47427,36785,55323,32549,68475,31830,139622,30217,85565,18109,58865,9538,60077,7602,39009,5809,14037,3387,1084,1148,4,38,0,0,0,0,718844,728467,37.564718,126.977108
2017,1,1호선,시청,64,4,2241,4148,3335,18929,6717,68001,8419,165966,11204,77187,14863,39575,20292,38787,23135,38405,29685,46785,37071,44045,47427,36785,55323,32549,68475,31830,139622,30217,85565,18109,58865,9538,60077,7602,39009,5809,14037,3387,1084,1148,4,38,0,0,0,0,718844,728467,37.564718,126.977108
2017,1,1호선,시청,64,4,2241,4148,3335,18929,6717,68001,8419,165966,11204,77187,14863,39575,20292,38787,23135,38405,29685,46785,37071,44045,47427,36785,55323,32549,68475,31830,139622,30217,85565,18109,58865,9538,60077,7602,39009,5809,14037,3387,1084,1148,4,38,0,0,0,0,718844,728467,37.564718,126.977108
2017,1,1호선,시청,64,4,2241,4148,3335,18929,6717,68001,8419,165966,11204,77187,14863,39575,20292,38787,23135,38405,29685,46785,37071,44045,47427,36785,55323,32549,68475,31830,139622,30217,85565,18109,58865,9538,60077,7602,39009,5809,14037,3387,1084,1148,4,38,0,0,0,0,718844,728467,37.564718,126.977108
2017,1,2호선,시청,85,5,1421,1800,2301,15578,5725,86735,8415,196900,10274,78734,15877,29176,21822,27132,23209,25315,29270,32272,33740,31929,41950,27012,45940,24566,69410,24834,161344,25082,84359,15702,52699,8427,50793,6773,33261,6234,14024,4137,1952,1476,6,139,0,4,0,0,669962,709809,37.564718,126.977108
2017,1,2호선,시청,85,5,1421,1800,2301,15578,5725,86735,8415,196900,10274,78734,15877,29176,21822,27132,23209,25315,29270,32272,33740,31929,41950,27012,45940,24566,69410,24834,161344,25082,84359,15702,52699,8427,50793,6773,33261,6234,14024,4137,1952,1476,6,139,0,4,0,0,669962,709809,37.564718,126.977108
2017,1,2호선,시청,85,5,1421,1800,2301,15578,5725,86735,8415,196900,10274,78734,15877,29176,21822,27132,23209,25315,29270,32272,33740,31929,41950,27012,45940,24566,69410,24834,161344,25082,84359,15702,52699,8427,50793,6773,33261,6234,14024,4137,1952,1476,6,139,0,4,0,0,669962,709809,37.564718,126.977108
2017,1,2호선,시청,85,5,1421,1800,2301,15578,5725,86735,8415,196900,10274,78734,15877,29176,21822,27132,23209,25315,29270,32272,33740,31929,41950,27012,45940,24566,69410,24834,161344,25082,84359,15702,52699,8427,50793,6773,33261,6234,14024,4137,1952,1476,6,139,0,4,0,0,669962,709809,37.564718,126.977108
2017,1,1호선,종각,138,6,4681,4425,5510,23740,8264,106397,13331,272218,15648,145761,22623,75853,35420,69630,43975,68078,59509,75142,68840,65289,81158,56700,90285,56400,119810,64816,232751,85332,143513,59835,118899,22802,134914,14090,113456,9566,54920,5765,4959,1719,52,41,0,0,0,0,1283605,1374535,37.570161,126.982923
2017,1,1호선,종로3가,197,11,5395,2225,4386,11102,6668,29156,10569,87858,14354,102372,23076,83349,40792,84984,55880,88090,70343,92035,79332,80809,87483,65586,95411,56337,99938,52419,120894,58276,97039,40891,67142,15866,73724,11222,62591,8205,26911,5770,2948,2836,80,95,0,1,0,0,979495,1046973,37.571607,126.99180600000001
