line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
1호선,동대문,2017.0,631.25,7.833333333333333,15010.0,2284.25,11889.833333333334,8656.75,18930.0,16108.666666666666,25671.833333333332,34545.25,24735.416666666668,32953.916666666664,22589.5,33325.916666666664,23901.583333333332,38722.666666666664,29733.166666666668,39235.5,32848.25,38846.666666666664,34401.666666666664,37554.25,35819.833333333336,35553.333333333336,35177.5,32897.0,36184.583333333336,33154.333333333336,35637.666666666664,33920.333333333336,25777.833333333332,34830.416666666664,20167.583333333332,26586.583333333332,18344.5,20794.75,15951.0,18896.0,8806.25,15742.416666666666,1044.4166666666667,4947.5,12.75,90.41666666666667,0.08333333333333333,3.6666666666666665,0.0,0.0,539658.4166666666,474652.25,37.571419999999996,127.00974500000005
1호선,동묘앞,2017.0,84.83333333333333,2.0,3396.5,936.3333333333334,4033.25,3972.3333333333335,7425.833333333333,11341.666666666666,9548.583333333334,30039.583333333332,8963.416666666666,19459.333333333332,10156.083333333334,19499.666666666668,14858.083333333334,26177.0,20366.583333333332,29947.25,26747.083333333332,33953.916666666664,31209.916666666668,33948.583333333336,35276.416666666664,28978.5,36539.583333333336,22414.166666666668,33759.916666666664,18082.5,30524.916666666668,13068.5,15937.25,9569.333333333334,8550.666666666666,6810.416666666667,7349.5,6637.416666666667,5056.0,7201.833333333333,2473.5833333333335,4822.666666666667,311.25,3410.25,2.25,283.5,0.08333333333333333,12.833333333333334,0.0,0.0,330569.5833333333,314503.75,37.572627000000004,127.01642900000002
1호선,시청,2017.0,59.916666666666664,2.0,2299.1666666666665,4338.166666666667,3767.75,22725.166666666668,7560.166666666667,73156.83333333333,9917.0,175882.66666666666,12671.166666666666,80407.0,16238.5,45858.333333333336,22412.333333333332,43817.0,25225.333333333332,42222.083333333336,32156.5,49914.666666666664,39502.416666666664,47068.916666666664,50813.333333333336,37255.916666666664,57907.25,31833.583333333332,73727.41666666667,31095.916666666668,144843.25,31923.0,79695.91666666667,18896.0,60427.833333333336,9797.0,61957.083333333336,8180.416666666667,41650.666666666664,6485.5,15493.083333333334,3968.5,1238.4166666666667,1351.4166666666667,14.916666666666666,28.916666666666668,0.16666666666666666,1.5,0.0,0.0,766210.5,761536.6666666666,37.56471800000002,126.97710800000003
1호선,신설동,2017.0,277.5,12.0,8895.666666666666,2335.8333333333335,10933.833333333334,7745.333333333333,21604.666666666668,28313.833333333332,29163.25,73237.58333333333,22445.25,41318.083333333336,20645.833333333332,26107.416666666668,23541.833333333332,23823.583333333332,25345.333333333332,23183.333333333332,28253.75,24645.083333333332,27231.166666666668,22820.416666666668,29897.75,23340.083333333332,32716.833333333332,23226.25,41549.75,28863.333333333332,64432.75,29869.75,32723.916666666668,25073.166666666668,20070.416666666668,16845.5,18433.0,15933.333333333334,13560.583333333334,15873.0,6031.083333333333,11116.0,545.6666666666666,2617.9166666666665,4.0,21.833333333333332,0.16666666666666666,9.25,0.0,0.0,466331.9166666667,480043.5,37.57529699999995,127.025087
1호선,제기동,2017.0,266.75,5.75,4805.5,2422.9166666666665,9331.833333333334,9618.25,24565.416666666668,20358.5,33664.166666666664,51423.583333333336,25691.75,40119.583333333336,28177.25,43738.083333333336,36708.416666666664,53779.416666666664,44000.666666666664,58886.75,49525.25,61173.833333333336,55836.666666666664,55733.416666666664,62571.833333333336,47952.833333333336,62834.333333333336,38047.083333333336,52818.833333333336,30692.083333333332,48529.916666666664,29081.666666666668,25816.583333333332,24179.25,14875.583333333334,14549.166666666666,12198.833333333334,13169.333333333334,8855.583333333334,12658.0,3704.5833333333335,9198.166666666666,248.66666666666666,2159.75,5.0,13.916666666666666,0.16666666666666666,0.25,0.0,0.0,618961.5833333334,606783.8333333334,37.578103000000006,127.034893
1호선,종각,2017.0,100.33333333333333,3.75,4500.333333333333,4973.666666666667,5317.666666666667,28128.25,8420.333333333334,106835.91666666667,14386.416666666666,274496.0833333333,17158.583333333332,150545.91666666666,23688.5,77578.08333333333,35221.666666666664,72032.0,44023.916666666664,68678.08333333333,59702.083333333336,73336.58333333333,68698.5,63386.083333333336,81126.75,55986.833333333336,90641.5,56778.083333333336,125010.83333333333,66020.41666666667,239479.91666666666,86945.25,139408.83333333334,59702.916666666664,115579.83333333333,23747.166666666668,135053.08333333334,14492.833333333334,113091.16666666667,9904.583333333334,53763.583333333336,6642.5,5465.25,1715.3333333333333,89.5,19.083333333333332,0.16666666666666666,0.75,0.0,0.0,1301950.1666666667,1381845.4166666667,37.57016099999999,126.98292300000001
1호선,종로3가,2017.0,191.75,7.333333333333333,5874.416666666667,2528.6666666666665,4751.666666666667,13246.5,7492.916666666667,30617.0,12375.25,89122.83333333333,16216.916666666666,98521.58333333333,26366.083333333332,83121.41666666667,40858.166666666664,86107.58333333333,55011.416666666664,87399.33333333333,69659.5,88491.0,77370.91666666667,79840.58333333333,86751.0,66426.75,94752.16666666667,57822.666666666664,101524.83333333333,55960.666666666664,125360.41666666667,62491.0,99419.16666666667,42101.416666666664,71081.75,17132.416666666668,77459.08333333333,12002.333333333334,65305.25,9042.333333333334,29059.583333333332,6351.583333333333,3387.0,2866.25,38.75,48.583333333333336,0.16666666666666666,2.75,0.0,0.0,991252.5833333334,1072133.4166666667,37.57160699999994,126.99180600000001
1호선,종로5가,2017.0,58.583333333333336,1.5833333333333333,2349.6666666666665,3208.6666666666665,3449.5,15714.833333333334,5783.25,42910.833333333336,10272.666666666666,123868.5,14133.333333333334,78505.75,22202.916666666668,59650.5,32839.833333333336,64729.833333333336,43108.75,62503.333333333336,55114.25,59114.083333333336,63286.416666666664,55860.083333333336,68347.83333333333,49331.833333333336,70103.08333333333,44149.0,81999.5,40423.333333333336,119002.83333333333,39028.75,75146.25,25585.583333333332,47006.833333333336,12125.25,39714.75,8749.25,30002.416666666668,6308.5,12033.416666666666,4207.833333333333,872.4166666666666,1258.5833333333333,3.4166666666666665,13.166666666666666,0.25,0.6666666666666666,0.0,0.0,797249.75,798790.5833333334,37.57092599999999,127.00184899999999
2호선,강남,2017.0,279.6666666666667,7.333333333333333,16466.166666666668,12507.583333333334,24904.916666666668,62209.333333333336,49456.25,190184.66666666666,77439.66666666667,358167.0833333333,67342.33333333333,351523.25,65801.75,179101.41666666666,88852.33333333333,151950.16666666666,114958.33333333333,151128.41666666666,152246.91666666666,186357.0,153217.33333333334,162459.58333333334,179848.33333333334,152365.58333333334,203496.91666666666,157246.66666666666,252462.25,188402.91666666666,386057.1666666667,267794.9166666667,278069.1666666667,215654.75,222015.58333333334,100346.91666666667,274189.25,75223.91666666667,292810.8333333333,64225.916666666664,134726.33333333334,40441.416666666664,23750.833333333332,11720.0,69.0,303.25,1.0833333333333333,5.833333333333333,0.0,0.0,3079327.9166666665,3060199.75,37.49717499999998,127.02792599999998
2호선,건대입구,2017.0,397.3333333333333,9.666666666666666,21585.583333333332,1966.25,28654.25,17843.0,67311.0,28307.916666666668,113379.58333333333,72527.16666666667,75030.83333333333,57383.916666666664,46053.333333333336,52728.083333333336,45545.083333333336,56614.666666666664,53747.583333333336,70222.58333333333,61461.75,77023.33333333333,62075.75,76898.41666666667,67260.91666666667,81690.25,76523.5,94487.25,89331.83333333333,123602.91666666667,103955.41666666667,186510.16666666666,86322.16666666667,164991.41666666666,86102.91666666667,96365.58333333333,98091.5,83452.83333333333,103371.16666666667,78280.25,65725.08333333333,49341.583333333336,10939.5,17124.416666666668,45.416666666666664,1362.0833333333333,0.5,21.25,0.0,0.0,1488755.0,1364531.6666666667,37.54069299999997,127.07023000000004
