line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
1호선,동대문,2019.0,563.0,7.333333333333333,14368.333333333334,2163.6666666666665,10234.0,6661.666666666667,15744.666666666666,12601.0,23034.333333333332,28189.333333333332,22396.666666666668,28081.0,20475.0,30664.0,22875.666666666668,36970.333333333336,27786.333333333332,39146.666666666664,31550.0,38036.0,33945.333333333336,36204.666666666664,34460.333333333336,34084.666666666664,34332.0,30853.0,34480.333333333336,30438.0,32894.0,30553.0,23332.666666666668,31211.0,18670.0,22085.333333333332,17137.0,17257.333333333332,14924.0,16379.666666666666,8445.333333333334,13104.333333333334,1169.6666666666667,4544.333333333333,3.6666666666666665,53.0,0.6666666666666666,0.6666666666666666,0.0,0.0,489290.0,444279.0,37.571419999999996,127.00974500000001
1호선,동묘앞,2019.0,99.0,5.0,3264.6666666666665,797.6666666666666,3402.6666666666665,3450.6666666666665,6282.666666666667,9605.0,9112.0,24669.666666666668,8888.0,17442.333333333332,10033.666666666666,20994.0,14850.333333333334,30885.666666666668,21434.666666666668,37734.0,28828.666666666668,42900.0,36423.666666666664,42265.0,42000.333333333336,35502.0,43215.333333333336,24869.333333333332,39505.333333333336,17680.333333333332,31202.333333333332,11818.0,13501.333333333334,8417.333333333334,7366.666666666667,6071.666666666667,6242.0,6017.333333333333,4784.666666666667,6327.0,2322.3333333333335,4559.333333333333,274.3333333333333,3086.6666666666665,2.0,231.66666666666666,0.6666666666666666,3.6666666666666665,0.0,0.0,355333.3333333333,334957.3333333333,37.572627000000004,127.016429
1호선,시청,2019.0,71.0,0.3333333333333333,2424.3333333333335,3915.6666666666665,3430.6666666666665,19990.666666666668,7591.0,63369.666666666664,10035.0,189987.0,13237.333333333334,80895.66666666667,16517.0,45944.0,21879.333333333332,43253.0,25048.333333333332,40739.0,32261.333333333332,45714.0,39410.666666666664,39978.333333333336,50215.0,32897.0,55119.333333333336,27386.666666666668,76961.33333333333,27099.666666666668,153633.0,26951.0,70201.66666666667,15155.666666666666,53753.666666666664,9104.666666666666,54181.333333333336,8136.666666666667,35364.333333333336,6439.666666666667,13442.333333333334,4167.666666666667,845.3333333333334,1266.3333333333333,2.3333333333333335,29.333333333333332,0.0,0.3333333333333333,0.0,0.0,732422.0,737573.6666666666,37.56471799999999,126.97710800000003
1호선,신설동,2019.0,271.6666666666667,21.666666666666668,8880.0,2046.6666666666667,9574.666666666666,7941.0,19528.0,23825.333333333332,29013.333333333332,70733.66666666667,21745.333333333332,40057.0,19979.333333333332,25699.0,22986.333333333332,24105.666666666668,25051.333333333332,23714.0,27666.0,24694.333333333332,27674.333333333332,23668.666666666668,29734.333333333332,23993.0,32272.666666666668,23312.0,41648.0,28481.333333333332,68220.66666666667,30520.333333333332,30565.666666666668,25186.666666666668,19560.333333333332,16612.333333333332,17698.0,16093.0,13006.333333333334,15722.333333333334,5977.0,11029.0,601.3333333333334,2812.3333333333335,2.3333333333333335,23.666666666666668,0.0,0.0,0.0,0.0,460293.0,473404.3333333333,37.575296999999985,127.025087
1호선,제기동,2019.0,313.6666666666667,7.0,4592.666666666667,2092.3333333333335,8120.333333333333,7937.666666666667,21518.666666666668,18026.666666666668,32783.666666666664,46308.666666666664,23934.333333333332,41389.0,26333.333333333332,41226.666666666664,35447.666666666664,53833.0,44504.666666666664,60388.0,51564.333333333336,66725.0,57628.0,60695.666666666664,64073.666666666664,52303.333333333336,62402.666666666664,38355.666666666664,53754.0,32436.0,51262.0,28969.0,27032.0,22858.333333333332,17733.333333333332,13967.0,12602.666666666666,12327.666666666666,8888.333333333334,11941.0,3820.6666666666665,8157.333333333333,284.6666666666667,1811.3333333333333,0.0,5.0,0.0,0.0,0.0,0.0,621761.3333333334,610300.6666666666,37.578103000000006,127.034893
1호선,종각,2019.0,96.33333333333333,4.0,4117.333333333333,4760.0,4291.333333333333,26014.666666666668,6599.333333333333,95504.33333333333,11114.333333333334,270840.3333333333,14481.666666666666,152737.66666666666,20040.0,75647.0,32497.333333333332,71879.33333333333,40440.666666666664,68401.33333333333,56110.666666666664,71246.0,64329.333333333336,60275.333333333336,79492.33333333333,54156.333333333336,92602.33333333333,53945.0,135749.0,60381.666666666664,234124.33333333334,77294.33333333333,125362.66666666667,48911.333333333336,106255.66666666667,19084.666666666668,125803.66666666667,12193.0,103411.33333333333,8287.666666666666,49013.666666666664,5479.333333333333,4213.666666666667,1531.3333333333333,2.6666666666666665,10.0,0.0,0.0,0.0,0.0,1238584.6666666667,1312072.3333333333,37.570161,126.98292299999999
1호선,종로3가,2019.0,126.66666666666667,11.333333333333334,4919.333333333333,2427.3333333333335,3871.0,12198.0,5938.0,27006.666666666668,9904.333333333334,76621.33333333333,14647.333333333334,90063.33333333333,24421.666666666668,80762.33333333333,39929.666666666664,91012.0,53911.333333333336,95753.0,70018.0,96563.66666666667,77425.33333333333,84360.33333333333,88251.33333333333,68821.66666666667,99245.33333333333,59149.333333333336,101900.66666666667,55374.666666666664,121494.0,59960.0,90440.66666666667,35767.0,66028.0,14421.333333333334,71872.66666666667,10413.666666666666,59055.0,8034.0,24866.666666666668,5641.0,2824.3333333333335,2478.6666666666665,12.0,60.666666666666664,0.0,0.0,0.0,0.0,976901.3333333334,1032995.6666666666,37.57160699999998,126.99180600000001
1호선,종로5가,2019.0,43.333333333333336,1.6666666666666667,1889.0,3370.6666666666665,2889.3333333333335,14563.0,5083.333333333333,38462.333333333336,8496.333333333334,121170.66666666667,12938.666666666666,74191.0,21371.333333333332,61070.333333333336,31674.0,68055.66666666667,44034.666666666664,69689.0,57565.0,65930.0,67239.0,60877.333333333336,71327.33333333333,53164.666666666664,74588.0,47400.0,87518.0,42380.666666666664,123582.0,39325.0,70349.66666666667,24246.666666666668,48206.0,11082.333333333334,39260.333333333336,7502.666666666667,30823.666666666668,5239.333333333333,10845.666666666666,3440.0,727.0,1012.6666666666666,1.6666666666666667,8.333333333333334,0.0,0.0,0.0,0.0,812184.0,812429.0,37.570926,127.00184899999999
2호선,강남,2019.0,300.3333333333333,8.333333333333334,16054.666666666666,12240.333333333334,25032.333333333332,53635.666666666664,45701.333333333336,170639.0,74798.0,342850.0,64817.0,370866.3333333333,65782.0,185018.33333333334,89768.33333333333,158210.66666666666,115686.0,161254.33333333334,153142.33333333334,195168.66666666666,154395.33333333334,168492.0,185574.33333333334,161098.33333333334,209537.33333333334,162462.0,265739.6666666667,198146.33333333334,386464.6666666667,276107.3333333333,266019.0,207986.0,217911.66666666666,94557.66666666667,272107.3333333333,70160.0,289935.0,60865.666666666664,132034.66666666666,38170.0,23238.333333333332,12317.333333333334,77.33333333333333,421.6666666666667,0.6666666666666666,4.666666666666667,0.0,0.0,3100680.6666666665,3055836.3333333335,37.49717499999999,127.027926
2호선,건대입구,2019.0,283.3333333333333,10.333333333333334,19122.666666666668,1953.3333333333333,24596.666666666668,15201.666666666666,57682.0,25773.666666666668,104415.33333333333,65952.0,69648.0,51417.666666666664,43629.0,50535.666666666664,42554.666666666664,55225.666666666664,50869.333333333336,70288.66666666667,57933.0,78670.33333333333,59339.333333333336,79541.33333333333,64633.666666666664,84629.0,73234.0,96508.0,86730.66666666667,126999.0,103587.33333333333,192675.66666666666,82831.66666666667,157151.66666666666,84509.33333333333,86848.0,100380.66666666667,76125.0,108030.66666666667,67486.66666666667,68785.66666666667,42555.333333333336,11408.333333333334,14823.333333333334,43.666666666666664,1270.0,0.3333333333333333,7.0,0.0,0.0,1441649.0,1315985.0,37.54069299999999,127.07023000000002
