year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2015,8,공항철도 1호선,계양,21,1,8534,670,24031,3169,57428,4339,47123,5635,26115,4881,18936,4844,17569,4829,16444,6127,14337,7996,11869,9223,10782,11983,11323,14956,11740,20481,10873,31054,6987,44872,5253,29269,4226,25552,3281,30254,1680,21889,211,4787,0,0,0,0,0,0,286811,310757
2015,8,3호선,대치,4,0,2561,569,11073,10526,24284,18181,25195,26614,16694,22705,14046,14323,15244,14213,18309,17068,18215,19157,15943,16192,18686,16780,21688,20925,27488,24604,27856,25793,20783,23756,14843,13982,16519,12859,33583,14496,4226,9028,612,2972,0,0,0,0,0,0,324743,349863
2015,8,3호선,학여울,5,0,497,297,1582,1963,3656,4396,4517,9727,3594,10092,2705,9124,3891,7842,6337,7249,7512,6740,8114,5589,9209,4553,9155,4007,8758,3839,9030,4972,3976,4672,2954,2759,3272,2393,2703,2288,868,1667,86,551,0,0,0,0,0,0,94720,94431
2015,8,분당선,망포,60,5,3102,2556,13177,7622,33660,18996,32306,35717,18034,12644,13563,7459,14177,8340,14634,8996,13908,9585,12704,10291,12780,11945,15523,13624,26686,17698,39385,26749,21378,30006,16240,23375,13764,20584,10810,20939,4618,12820,491,3800,0,0,0,0,0,0,303751,332955
2015,8,6호선,공덕,76,0,5683,2060,9210,9322,20857,35188,28507,99493,21394,39343,18883,21487,20400,19304,21266,18231,21976,20789,22535,19225,25214,19729,27377,21853,36568,25941,80198,35806,44181,30709,30060,19855,28401,17614,24730,17574,12783,12489,1908,5406,0,241,0,0,0,0,491659,504146
2015,8,6호선,삼각지,5,0,1545,728,3232,5993,6764,13696,11915,23402,9263,11146,7383,8254,9105,8311,10896,8032,12632,8343,12448,8429,13811,7741,16417,7692,20366,8323,27551,10395,14610,8649,10772,6292,10119,6641,9331,7175,5143,5453,769,1308,1,1,0,0,0,0,166004,216088
2015,8,수인선,월곶,1,0,1035,269,3731,1339,8481,1972,6761,3018,4337,1810,3912,2170,3840,3225,3821,3624,4043,3442,3427,3229,3455,4109,3857,4127,4476,4920,5727,6798,3143,5446,2998,4401,1963,4496,1337,4224,699,2351,5,553,0,0,0,0,0,0,65523,73063
2015,8,공항철도 1호선,공항화물청사,9,0,645,454,1077,6132,1989,14133,2578,22650,1937,4597,881,1709,955,3706,1151,4341,1874,2053,2464,1325,2929,962,4308,1496,7558,1422,18563,923,6937,1598,4467,2622,3938,1288,3774,529,1028,358,6,93,0,0,0,0,0,0,72391,71074
2015,8,분당선,모란,153,10,13835,3264,25937,13027,63349,24884,85479,35509,60077,29080,40091,29234,40850,31201,42111,31879,40964,32961,36860,34030,35604,40774,38168,44694,44222,50313,49880,65445,33732,62030,23184,47498,20052,44495,16895,42038,8489,25110,675,3288,1,1,0,0,0,0,690765,722470
2015,8,분당선,매탄권선,62,1,1931,658,6155,1598,14011,4648,14473,8754,8043,4327,6072,2643,5899,3128,6772,3249,5820,3334,4806,4303,4659,4917,5788,5275,8446,7561,9416,11154,5113,11236,3656,8747,3271,8624,2920,8393,985,6572,100,1386,0,0,0,0,0,0,110508,120351
