"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20190428","중앙선","지평","83","55","20190501"
"20190428","중앙선","용문","5363","4698","20190501"
"20190428","중앙선","원덕","556","535","20190501"
"20190428","중앙선","양평","5276","5051","20190501"
"20190428","중앙선","오빈","367","326","20190501"
"20190428","중앙선","아신","872","871","20190501"
"20190428","중앙선","국수","973","868","20190501"
"20190428","중앙선","신원","382","224","20190501"
"20190428","중앙선","양수","2294","2265","20190501"
"20190428","중앙선","운길산","1509","1462","20190501"
"20190428","중앙선","팔당","1688","1832","20190501"
"20190428","중앙선","도심","1972","1843","20190501"
"20190428","중앙선","덕소","4912","4807","20190501"
"20190428","중앙선","양정","720","589","20190501"
"20190428","중앙선","도농","6054","5745","20190501"
"20190428","중앙선","구리","10299","10644","20190501"
"20190428","중앙선","양원","1113","1144","20190501"
"20190428","중앙선","망우","6477","6441","20190501"
"20190428","중앙선","상봉(시외버스터미널)","5189","5032","20190501"
"20190428","중앙선","중랑","4374","4373","20190501"
"20190428","중앙선","회기","23767","24501","20190501"
"20190428","장항선","신창(순천향대)","1536","3610","20190501"
"20190428","장항선","온양온천","7212","6677","20190501"
"20190428","장항선","배방","1387","1581","20190501"
"20190428","장항선","아산","4018","3139","20190501"
"20190428","장항선","쌍용(나사렛대)","1886","2249","20190501"
"20190428","장항선","봉명","926","995","20190501"
"20190428","일산선","대화","9658","8463","20190501"
"20190428","일산선","주엽","6316","6177","20190501"
"20190428","일산선","정발산","14770","14263","20190501"
"20190428","일산선","마두","5523","5624","20190501"
"20190428","일산선","백석","8748","8546","20190501"
"20190428","일산선","대곡","1345","1100","20190501"
"20190428","일산선","화정","14734","15172","20190501"
"20190428","일산선","원당","8632","8294","20190501"
"20190428","일산선","삼송","11455","11490","20190501"
"20190428","일산선","원흥","5467","5227","20190501"
"20190428","우이신설선","신설동","1218","1271","20190501"
"20190428","우이신설선","보문","1188","1267","20190501"
"20190428","우이신설선","성신여대입구(돈암)","2660","3141","20190501"
"20190428","우이신설선","정릉","3192","2734","20190501"
"20190428","우이신설선","북한산보국문","4701","4118","20190501"
"20190428","우이신설선","솔샘","3479","3224","20190501"
"20190428","우이신설선","삼양사거리","1742","1675","20190501"
"20190428","우이신설선","삼양","1393","1407","20190501"
"20190428","우이신설선","화계","2359","2273","20190501"
"20190428","우이신설선","가오리","2652","2426","20190501"
"20190428","우이신설선","4.19민주묘지","2314","2070","20190501"
"20190428","우이신설선","솔밭공원","1638","1641","20190501"
"20190428","우이신설선","북한산우이","3922","3672","20190501"
"20190428","안산선","수리산","13172","15269","20190501"
"20190428","안산선","오이도","8659","8190","20190501"
"20190428","안산선","정왕","6811","7969","20190501"
"20190428","안산선","신길온천","1520","1380","20190501"
"20190428","안산선","안산","16328","14967","20190501"
"20190428","안산선","초지","2479","2187","20190501"
"20190428","안산선","고잔","6310","6146","20190501"
"20190428","안산선","중앙","15691","15757","20190501"
"20190428","안산선","한대앞","6516","6509","20190501"
"20190428","안산선","상록수","15529","15344","20190501"
"20190428","안산선","반월","3897","3815","20190501"
"20190428","안산선","대야미","4341","3749","20190501"
"20190428","안산선","산본","16409","15120","20190501"
"20190428","수인선","인천","1465","2241","20190501"
"20190428","수인선","신포","1519","1508","20190501"
"20190428","수인선","숭의","2369","2268","20190501"
"20190428","수인선","인하대","3860","3756","20190501"
"20190428","수인선","송도","2314","2235","20190501"
"20190428","수인선","연수","4512","4439","20190501"
"20190428","수인선","원인재","3692","3835","20190501"
"20190428","수인선","남동인더스파크","857","913","20190501"
"20190428","수인선","호구포","2703","2648","20190501"
"20190428","수인선","인천논현","4000","4174","20190501"
"20190428","수인선","소래포구","5643","5548","20190501"
"20190428","수인선","월곶","1958","1811","20190501"
"20190428","수인선","달월","63","68","20190501"
"20190428","분당선","매교","1407","1476","20190501"
"20190428","분당선","수원시청","10494","10002","20190501"
"20190428","분당선","매탄권선","2931","2685","20190501"
"20190428","분당선","망포","7785","7799","20190501"
"20190428","분당선","영통","6369","6731","20190501"
"20190428","분당선","청명","2673","2741","20190501"
"20190428","분당선","상갈","3852","3959","20190501"
"20190428","분당선","기흥","6822","6652","20190501"
"20190428","분당선","신갈","2628","2659","20190501"
"20190428","분당선","구성","2938","3107","20190501"
"20190428","분당선","죽전","10908","12129","20190501"
"20190428","분당선","보정","1342","1324","20190501"
"20190428","분당선","이매","5450","5289","20190501"
"20190428","분당선","오리","8031","7136","20190501"
"20190428","분당선","미금","10533","11131","20190501"
"20190428","분당선","정자","8843","9285","20190501"
"20190428","분당선","수내","8035","7739","20190501"
"20190428","분당선","서현","19310","18811","20190501"
"20190428","분당선","야탑","19939","20510","20190501"
"20190428","분당선","모란","15241","15583","20190501"
"20190428","분당선","태평","10357","9943","20190501"
"20190428","분당선","가천대","4748","6006","20190501"
"20190428","분당선","선정릉","2938","3017","20190501"
"20190428","분당선","강남구청","3965","4721","20190501"
"20190428","분당선","압구정로데오","9488","10347","20190501"
"20190428","분당선","서울숲","7349","7794","20190501"
"20190428","분당선","수원","7359","4808","20190501"
"20190428","분당선","수서","9969","9651","20190501"
"20190428","분당선","대모산입구","1870","1878","20190501"
"20190428","분당선","개포동","2369","2248","20190501"
"20190428","분당선","구룡","905","1032","20190501"
"20190428","분당선","도곡","3075","3008","20190501"
"20190428","분당선","한티","8378","8684","20190501"
"20190428","분당선","선릉","3138","5177","20190501"
"20190428","과천선","범계","21084","19983","20190501"
"20190428","과천선","평촌","8992","8783","20190501"
"20190428","과천선","인덕원","17213","16718","20190501"
"20190428","과천선","정부과천청사","9863","9346","20190501"
"20190428","과천선","과천","3691","3334","20190501"
"20190428","과천선","대공원","9972","10359","20190501"
"20190428","과천선","경마공원","19406","19882","20190501"
"20190428","과천선","선바위","5626","4955","20190501"
"20190428","공항철도 1호선","영종","2204","2203","20190501"
"20190428","공항철도 1호선","인천공항2터미널","5917","5359","20190501"
"20190428","공항철도 1호선","인천공항1터미널","18009","15841","20190501"
