year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2016,1,경춘선,가평,1,0,492,60,1053,533,2369,1648,3252,4416,2895,3150,3190,3647,7766,5679,5552,8851,3743,5870,4155,6158,4832,5199,6040,3297,5638,4312,5736,2875,2035,3555,1396,1873,932,1634,523,1425,297,1211,5,466,0,0,0,0,0,0,65859,63917,37.814536,127.51073899999999
2016,1,과천선,정부과천청사,18,1,2004,1581,5919,8616,18316,24829,20219,68739,17320,26455,14161,18500,15223,15987,17511,13758,20489,15950,23258,16077,20843,15114,21192,15409,26601,19139,56071,24050,25518,24817,18824,13548,18577,11533,12665,11013,4574,7086,672,2020,0,2,0,0,0,0,354224,361973,37.426513,126.98978000000001
2016,1,분당선,수서,64,3,3074,1534,6160,6275,18600,13834,25313,35150,17368,15207,11887,9698,11741,8788,12070,8927,12767,9784,11424,9938,12109,11035,12883,12021,18009,14606,28138,21424,13887,21487,9608,14452,9157,13686,6112,13635,2833,9083,176,1462,0,0,0,0,0,0,252029,245332,37.487371,127.10188000000001
2016,1,분당선,수서,64,3,3074,1534,6160,6275,18600,13834,25313,35150,17368,15207,11887,9698,11741,8788,12070,8927,12767,9784,11424,9938,12109,11035,12883,12021,18009,14606,28138,21424,13887,21487,9608,14452,9157,13686,6112,13635,2833,9083,176,1462,0,0,0,0,0,0,252029,245332,37.487371,127.10188000000001
2016,1,분당선,수서,64,3,3074,1534,6160,6275,18600,13834,25313,35150,17368,15207,11887,9698,11741,8788,12070,8927,12767,9784,11424,9938,12109,11035,12883,12021,18009,14606,28138,21424,13887,21487,9608,14452,9157,13686,6112,13635,2833,9083,176,1462,0,0,0,0,0,0,252029,245332,37.487371,127.10188000000001
2016,1,분당선,수서,64,3,3074,1534,6160,6275,18600,13834,25313,35150,17368,15207,11887,9698,11741,8788,12070,8927,12767,9784,11424,9938,12109,11035,12883,12021,18009,14606,28138,21424,13887,21487,9608,14452,9157,13686,6112,13635,2833,9083,176,1462,0,0,0,0,0,0,252029,245332,37.487371,127.10188000000001
2016,1,3호선,수서,60,4,4093,1017,11469,8525,30167,17231,32952,44642,23750,21487,18760,15558,18640,13303,19807,13434,20000,14880,18499,16279,18958,17852,20557,18923,26086,22534,36172,30063,19179,31925,12592,21765,11688,19711,7339,20926,2895,12412,362,5426,0,378,0,0,0,0,368275,355981,37.487371,127.10188000000001
2016,1,3호선,수서,60,4,4093,1017,11469,8525,30167,17231,32952,44642,23750,21487,18760,15558,18640,13303,19807,13434,20000,14880,18499,16279,18958,17852,20557,18923,26086,22534,36172,30063,19179,31925,12592,21765,11688,19711,7339,20926,2895,12412,362,5426,0,378,0,0,0,0,368275,355981,37.487371,127.10188000000001
2016,1,3호선,수서,60,4,4093,1017,11469,8525,30167,17231,32952,44642,23750,21487,18760,15558,18640,13303,19807,13434,20000,14880,18499,16279,18958,17852,20557,18923,26086,22534,36172,30063,19179,31925,12592,21765,11688,19711,7339,20926,2895,12412,362,5426,0,378,0,0,0,0,368275,355981,37.487371,127.10188000000001
2016,1,3호선,수서,60,4,4093,1017,11469,8525,30167,17231,32952,44642,23750,21487,18760,15558,18640,13303,19807,13434,20000,14880,18499,16279,18958,17852,20557,18923,26086,22534,36172,30063,19179,31925,12592,21765,11688,19711,7339,20926,2895,12412,362,5426,0,378,0,0,0,0,368275,355981,37.487371,127.10188000000001
2016,1,7호선,강남구청,28,0,1920,1484,4585,11467,7560,29274,11303,107827,10269,91798,9939,39208,12659,25820,15439,22647,18972,23983,21995,21479,27784,19434,28084,19217,36704,19456,80617,21250,58246,17148,38543,10718,37038,8705,29083,7247,12519,5071,1935,2092,1,1,0,0,0,0,505326,467211,37.517185999999995,127.04128
