line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
1호선,동대문,2016.0,493.0833333333333,11.833333333333334,15023.833333333334,2288.3333333333335,12161.666666666666,8876.416666666666,19650.5,16365.916666666666,26062.833333333332,35052.166666666664,25278.583333333332,34421.583333333336,22894.25,34431.333333333336,24188.583333333332,39703.833333333336,30210.75,40520.333333333336,33221.916666666664,39960.083333333336,34692.75,38561.083333333336,35485.833333333336,36700.333333333336,35467.083333333336,34581.083333333336,36484.75,34119.166666666664,36212.833333333336,35087.083333333336,26565.75,37271.166666666664,21107.0,28541.083333333332,19711.5,22498.166666666668,17200.583333333332,20193.166666666668,9460.25,16422.5,1111.75,5369.083333333333,11.5,89.16666666666667,0.16666666666666666,8.5,0.0,0.0,561073.4166666666,484220.6666666667,37.571419999999996,127.00974500000005
1호선,동묘앞,2016.0,140.58333333333334,4.416666666666667,3096.0,876.8333333333334,3787.8333333333335,3945.0,7192.583333333333,11614.5,9296.0,32794.0,9109.0,19842.25,10303.5,18527.833333333332,14180.0,24253.25,19527.583333333332,27864.833333333332,25216.166666666668,31674.583333333332,28889.583333333332,32652.083333333332,33820.833333333336,28531.25,35409.0,22323.5,32978.916666666664,17511.75,30598.0,13297.083333333334,16980.916666666668,10013.25,10006.583333333334,7037.833333333333,7913.25,6821.333333333333,5460.666666666667,7192.333333333333,2670.1666666666665,4958.25,304.1666666666667,3586.0833333333335,3.9166666666666665,288.8333333333333,0.0,19.166666666666668,0.08333333333333333,0.0,325630.25,308760.75,37.572627000000004,127.01642900000002
1호선,시청,2016.0,74.25,3.5833333333333335,2491.3333333333335,4707.0,3882.5833333333335,23138.333333333332,7460.083333333333,80348.58333333333,10106.916666666666,179419.66666666666,12979.083333333334,80075.83333333333,17023.083333333332,47294.75,23467.75,45634.666666666664,26182.5,41847.5,32693.25,45436.75,39826.833333333336,41860.583333333336,48823.833333333336,37751.083333333336,55800.916666666664,35966.0,72620.66666666667,35512.166666666664,141752.66666666666,37120.75,84854.5,23406.75,69266.75,12149.25,69626.16666666667,9328.833333333334,47735.166666666664,7105.166666666667,17750.083333333332,4177.75,1529.75,1335.25,39.916666666666664,49.333333333333336,0.5,3.6666666666666665,0.0,0.0,793673.25,787930.3333333334,37.56471800000002,126.97710800000003
1호선,신설동,2016.0,236.16666666666666,5.916666666666667,7856.25,2520.3333333333335,10531.75,9315.833333333334,23228.5,31124.916666666668,30040.916666666668,78589.33333333333,23184.583333333332,44396.5,21659.5,26626.5,24896.833333333332,24124.083333333332,26522.75,23764.416666666668,29330.0,25586.583333333332,27968.166666666668,23343.75,31107.0,23836.083333333332,33714.166666666664,23447.5,43008.75,28381.666666666668,66139.66666666667,29981.5,35756.833333333336,26229.166666666668,21558.583333333332,17357.166666666668,19743.25,16575.916666666668,15040.0,16934.833333333332,6116.833333333333,11778.25,526.5833333333334,2861.1666666666665,3.4166666666666665,31.0,0.0,0.16666666666666666,0.0,0.0,486812.5833333333,499950.3333333333,37.57529699999995,127.025087
1호선,제기동,2016.0,237.33333333333334,7.666666666666667,4580.333333333333,2727.6666666666665,9527.916666666666,10590.0,24827.666666666668,20398.833333333332,32472.333333333332,49496.083333333336,24852.166666666668,37942.333333333336,27542.25,42635.583333333336,35979.166666666664,52412.333333333336,42947.5,55447.833333333336,48867.916666666664,57156.916666666664,54119.833333333336,53219.583333333336,59502.166666666664,47059.416666666664,58722.833333333336,38518.166666666664,51505.333333333336,31043.75,47676.833333333336,28333.833333333332,26226.75,23878.416666666668,15349.416666666666,14242.0,12749.416666666666,12730.166666666666,8288.583333333334,12460.25,3459.8333333333335,8648.25,258.5,1964.1666666666667,4.25,17.416666666666668,0.4166666666666667,0.3333333333333333,0.0,0.0,600931.0,591477.4166666666,37.578103000000006,127.034893
1호선,종각,2016.0,107.33333333333333,3.6666666666666665,4487.25,5087.666666666667,5718.25,28670.416666666668,9263.916666666666,114541.91666666667,15426.166666666666,274506.0,18527.666666666668,151902.5,25314.5,80202.58333333333,36770.333333333336,75106.08333333333,46072.416666666664,71042.66666666667,61930.333333333336,74559.75,69983.08333333333,65346.916666666664,82269.91666666667,57965.333333333336,90728.91666666667,59208.083333333336,121201.16666666667,70514.83333333333,236117.0,94375.83333333333,146652.25,68608.16666666667,123932.33333333333,27540.083333333332,145871.0,16354.25,125672.33333333333,11102.75,59090.916666666664,7253.416666666667,6206.916666666667,1783.9166666666667,194.58333333333334,26.25,0.75,0.75,0.0,0.0,1355703.8333333333,1433448.0,37.57016099999999,126.98292300000001
1호선,종로3가,2016.0,179.33333333333334,6.583333333333333,5613.833333333333,2617.8333333333335,5067.5,13868.75,7893.5,32277.75,12901.833333333334,95616.25,16940.333333333332,104140.33333333333,27894.166666666668,86066.33333333333,42902.583333333336,86496.58333333333,56069.75,88162.91666666667,71921.5,90358.25,78329.58333333333,80960.66666666667,88110.75,67484.0,96819.25,59032.75,102930.83333333333,57511.75,127711.0,66021.5,104663.91666666667,46734.5,74844.41666666667,18910.25,83801.66666666667,12813.583333333334,71564.08333333333,10047.333333333334,30253.333333333332,6817.916666666667,3812.3333333333335,3068.8333333333335,96.91666666666667,74.91666666666667,0.25,1.8333333333333333,0.0,0.0,1029091.4166666666,1112159.3333333333,37.57160699999994,126.99180600000001
1호선,종로5가,2016.0,59.0,3.25,2342.1666666666665,3352.9166666666665,3590.0,14886.666666666666,5956.333333333333,50153.75,9984.0,129295.0,14433.083333333334,86837.91666666667,22572.25,62232.416666666664,33512.75,64678.333333333336,43860.333333333336,62981.416666666664,55416.583333333336,59632.25,63344.333333333336,57186.0,69735.58333333333,51099.333333333336,69814.5,44065.916666666664,82626.41666666667,41158.833333333336,123251.75,40279.916666666664,82156.5,27677.833333333332,50719.75,12806.0,44442.083333333336,8902.166666666666,33481.416666666664,6726.833333333333,13521.333333333334,4352.5,933.8333333333334,1337.0,9.75,18.0,0.0,1.0833333333333333,0.0,0.0,829665.3333333334,827720.75,37.57092599999999,127.00184899999999
2호선,강남,2016.0,270.8333333333333,6.166666666666667,16484.583333333332,12971.166666666666,26773.666666666668,65021.75,51617.833333333336,181599.25,80109.25,353186.25,69002.5,341979.1666666667,68582.75,180072.0,91482.41666666667,153236.16666666666,115871.83333333333,152766.16666666666,154457.66666666666,185710.5,153354.75,164026.41666666666,180448.58333333334,151963.41666666666,203476.33333333334,155675.0,247785.0,185866.41666666666,365136.3333333333,261705.5,271219.0833333333,217287.41666666666,217655.5,103237.5,271583.0,76723.83333333333,287184.5833333333,64695.916666666664,130290.0,41349.333333333336,22986.666666666668,12403.333333333334,103.16666666666667,319.0833333333333,2.4166666666666665,12.5,0.0,0.0,3061814.25,3027623.9166666665,37.49717499999998,127.02792599999998
2호선,강변,2016.0,52.44444444444444,2.2222222222222223,10779.777777777777,4686.333333333333,33184.444444444445,39710.22222222222,106166.44444444444,46339.444444444445,155905.77777777778,67989.88888888889,114127.77777777778,63725.88888888889,94897.55555555556,59692.333333333336,90334.44444444444,59780.666666666664,87095.11111111111,68744.77777777778,86579.44444444444,78686.11111111111,80535.66666666667,84853.11111111111,81100.33333333333,96048.55555555556,84380.88888888889,104504.11111111111,94715.88888888889,115759.44444444444,99495.44444444444,152427.22222222222,86505.77777777778,139506.66666666666,73360.77777777778,96917.66666666667,64852.22222222222,87901.11111111111,49710.666666666664,83390.77777777778,20760.222222222223,46900.11111111111,2893.5555555555557,11165.111111111111,16.0,130.77777777777777,0.6666666666666666,4.111111111111111,0.0,0.0,1508866.6666666667,1519414.888888889,37.535095000000005,127.09468100000001
