,line,stopno,on,off
0,광진05,5733,1.4074074074074074,411.037037037037
1,7212,12246,142.4814814814815,120.66666666666667
2,7022,12246,230.59259259259258,192.66666666666666
3,470,1001,88.07407407407408,358.85185185185185
4,N37,1001,16.574074074074073,14.981481481481481
5,741,1001,71.84615384615384,175.6153846153846
6,172,1002,138.25925925925927,112.25925925925925
7,301,1002,148.11111111111111,55.25925925925926
8,107,1002,39.407407407407405,130.07407407407408
9,150,1002,160.77777777777777,92.18518518518519
10,106,1002,68.37037037037037,103.85185185185185
11,151,1002,212.77777777777777,137.5185185185185
12,140,1002,184.40740740740742,105.33333333333333
13,162,1002,166.77777777777777,153.03703703703704
14,104,1002,126.96296296296296,184.8148148148148
15,171,1002,224.22222222222223,130.77777777777777
16,160,1002,168.40740740740742,88.03703703703704
17,272,1002,404.0740740740741,252.0
18,100,1002,108.51851851851852,138.7037037037037
19,108,1002,24.666666666666668,80.51851851851852
20,102,1002,36.96296296296296,148.44444444444446
21,710,1002,140.74074074074073,71.92592592592592
22,143,1002,203.74074074074073,131.11111111111111
23,172,1003,212.4814814814815,164.85185185185185
24,301,1003,542.1111111111111,256.85185185185185
25,107,1003,61.51851851851852,171.37037037037038
26,150,1003,249.0,125.66666666666667
27,106,1003,50.370370370370374,130.37037037037038
28,151,1003,292.2962962962963,165.14814814814815
29,140,1003,470.85185185185185,144.40740740740742
30,162,1003,222.44444444444446,253.96296296296296
31,104,1003,128.74074074074073,251.14814814814815
32,171,1003,337.74074074074076,215.0
33,160,1003,369.74074074074076,126.25925925925925
34,272,1003,687.2592592592592,433.1111111111111
35,100,1003,125.4074074074074,203.59259259259258
36,108,1003,48.96296296296296,114.44444444444444
37,102,1003,66.33333333333333,194.03703703703704
38,710,1003,258.48148148148147,90.4074074074074
39,143,1003,365.22222222222223,222.88888888888889
40,470,1004,367.22222222222223,434.74074074074076
41,N37,1004,10.12962962962963,3.611111111111111
42,741,1004,219.0,175.30769230769232
43,501,1004,195.11111111111111,93.70370370370371
44,172,1005,84.07407407407408,172.55555555555554
45,107,1005,11.88888888888889,147.37037037037038
46,150,1005,112.77777777777777,126.25925925925925
47,106,1005,17.48148148148148,118.62962962962963
48,151,1005,121.96296296296296,165.4814814814815
49,140,1005,192.37037037037038,146.74074074074073
50,162,1005,128.85185185185185,290.77777777777777
51,104,1005,54.333333333333336,249.11111111111111
52,171,1005,156.59259259259258,230.44444444444446
53,160,1005,178.11111111111111,125.77777777777777
54,272,1005,354.4074074074074,509.6666666666667
55,100,1005,58.851851851851855,217.03703703703704
56,108,1005,9.555555555555555,105.11111111111111
57,102,1005,13.444444444444445,178.2962962962963
58,710,1005,112.85185185185185,84.81481481481481
59,143,1005,174.1851851851852,260.7037037037037
60,260,1006,322.22222222222223,169.1851851851852
61,273,1006,225.62962962962962,172.40740740740742
62,N26,1006,6.037037037037037,5.037037037037037
63,271,1006,341.037037037037,234.96296296296296
64,270,1006,165.8148148148148,166.77777777777777
65,160,1006,496.77777777777777,231.55555555555554
66,721,1006,238.62962962962962,182.5185185185185
67,470,1007,328.22222222222223,195.44444444444446
68,260,1007,226.37037037037038,222.92592592592592
69,273,1007,271.48148148148147,190.55555555555554
70,N37,1007,3.2962962962962963,3.2777777777777777
71,721,1007,230.40740740740742,195.5185185185185
72,741,1007,147.15384615384616,141.6153846153846
73,N26,1007,1.2884615384615385,4.173076923076923
74,702A,1007,177.4814814814815,405.3333333333333
75,705,1007,51.44444444444444,125.5925925925926
76,370,1007,402.037037037037,56.55555555555556
77,602,1007,89.96296296296296,227.7037037037037
78,271,1007,246.03703703703704,284.44444444444446
79,160,1007,383.7037037037037,328.9259259259259
80,720,1007,199.59259259259258,257.85185185185185
81,270,1007,210.77777777777777,154.2962962962963
82,702B,1007,73.0,201.33333333333334
83,9701,1007,6.481481481481482,118.81481481481481
84,600,1007,120.74074074074075,318.55555555555554
85,260,1008,285.6666666666667,180.44444444444446
86,273,1008,229.4814814814815,219.96296296296296
87,N26,1008,3.7358490566037736,3.792452830188679
88,370,1008,48.77777777777778,206.40740740740742
89,271,1008,347.7037037037037,253.59259259259258
90,270,1008,173.59259259259258,186.2962962962963
91,160,1008,439.3703703703704,337.7037037037037
92,721,1008,219.77777777777777,206.1851851851852
93,470,1009,542.5185185185185,319.22222222222223
94,260,1009,353.6296296296296,266.1111111111111
95,273,1009,330.74074074074076,254.22222222222223
96,N37,1009,12.074074074074074,7.351851851851852
97,721,1009,304.74074074074076,273.22222222222223
98,741,1009,228.15384615384616,218.84615384615384
99,N26,1009,8.415094339622641,5.132075471698113
100,702A,1009,234.2962962962963,444.51851851851853
101,705,1009,75.37037037037037,141.85185185185185
102,370,1009,543.7777777777778,102.0
103,271,1009,382.0,380.74074074074076
104,720,1009,321.44444444444446,412.7037037037037
105,160,1009,442.48148148148147,372.77777777777777
106,270,1009,279.0740740740741,216.03703703703704
107,702B,1009,105.55555555555556,216.0
108,9701,1009,37.333333333333336,118.88888888888889
109,470,1010,207.88888888888889,397.85185185185185
110,260,1010,225.66666666666666,229.2962962962963
111,273,1010,271.74074074074076,228.8148148148148
112,N37,1010,5.851851851851852,3.9074074074074074
113,741,1010,163.46153846153845,201.0
114,N26,1010,6.7592592592592595,3.425925925925926
115,370,1010,58.44444444444444,292.5925925925926
116,601,1010,216.55555555555554,145.85185185185185
117,271,1010,400.3703703703704,276.44444444444446
118,720,1010,403.6296296296296,227.59259259259258
119,160,1010,334.51851851851853,402.962962962963
120,270,1010,217.44444444444446,224.11111111111111
121,101,1010,37.074074074074076,263.25925925925924
122,721,1010,281.9259259259259,228.25925925925927
123,470,1011,555.8888888888889,339.3333333333333
124,260,1011,293.18518518518516,273.0740740740741
125,273,1011,314.14814814814815,229.14814814814815
126,N37,1011,5.7592592592592595,11.537037037037036
127,741,1011,216.92307692307693,185.30769230769232
128,N26,1011,5.62962962962963,9.462962962962964
129,370,1011,498.0,129.22222222222223
130,150,1011,373.0,270.8888888888889
131,501,1011,247.55555555555554,386.77777777777777
132,271,1011,337.9259259259259,328.8888888888889
133,160,1011,417.1111111111111,340.51851851851853
134,720,1011,244.1851851851852,436.1111111111111
135,7212,1011,145.85185185185185,277.6666666666667
136,270,1011,251.0,194.59259259259258
137,101,1011,395.77777777777777,64.44444444444444
138,721,1011,295.0740740740741,244.37037037037038
139,470,1012,324.037037037037,515.6666666666666
140,260,1012,297.2962962962963,253.96296296296296
141,273,1012,259.85185185185185,224.55555555555554
142,N37,1012,6.388888888888889,3.425925925925926
143,741,1012,239.69230769230768,254.0
144,N26,1012,5.555555555555555,3.9444444444444446
145,370,1012,107.55555555555556,355.18518518518516
146,150,1012,217.25925925925927,355.18518518518516
147,601,1012,270.037037037037,135.66666666666666
148,271,1012,405.9259259259259,303.18518518518516
149,160,1012,373.5925925925926,413.3333333333333
150,720,1012,454.18518518518516,244.25925925925927
151,7212,1012,214.7037037037037,122.55555555555556
152,270,1012,236.55555555555554,254.33333333333334
153,101,1012,83.14814814814815,308.7037037037037
154,721,1012,304.51851851851853,276.6296296296296
155,103,1012,42.22222222222222,203.33333333333334
156,260,1013,229.8148148148148,241.77777777777777
157,370,1013,457.1111111111111,143.07407407407408
158,150,1013,403.77777777777777,213.22222222222223
159,501,1013,174.37037037037038,196.40740740740742
160,271,1013,284.81481481481484,318.81481481481484
161,201,1013,159.88888888888889,66.07407407407408
162,101,1013,381.48148148148147,62.55555555555556
163,143,1013,568.2222222222222,475.48148148148147
164,103,1013,270.6666666666667,140.74074074074073
165,470,1013,459.962962962963,273.1111111111111
166,N37,1013,21.38888888888889,16.833333333333332
167,N26,1013,17.296296296296298,13.851851851851851
168,273,1013,195.92592592592592,219.8148148148148
169,N15,1013,35.55555555555556,11.666666666666666
170,N62,1013,16.425925925925927,9.777777777777779
171,7212,1013,135.37037037037038,223.59259259259258
172,270,1013,194.33333333333334,190.5185185185185
173,721,1013,241.11111111111111,238.22222222222223
174,741,1013,172.46153846153845,154.84615384615384
175,160,1013,318.6296296296296,288.77777777777777
176,720,1013,176.85185185185185,379.48148148148147
177,262,1013,272.4074074074074,207.37037037037038
178,260,1014,330.55555555555554,211.8148148148148
179,370,1014,119.81481481481481,309.3333333333333
180,150,1014,243.44444444444446,345.5925925925926
181,271,1014,480.85185185185185,249.25925925925927
182,201,1014,51.148148148148145,93.96296296296296
183,101,1014,95.85185185185185,264.77777777777777
184,143,1014,560.4814814814815,418.6296296296296
185,103,1014,62.333333333333336,181.59259259259258
186,470,1014,329.3333333333333,425.0740740740741
187,N37,1014,31.203703703703702,16.38888888888889
188,N26,1014,26.59259259259259,6.611111111111111
189,273,1014,320.3703703703704,190.40740740740742
190,N15,1014,24.944444444444443,11.944444444444445
191,N62,1014,21.38888888888889,6.314814814814815
192,7212,1014,308.48148148148147,121.03703703703704
193,270,1014,280.037037037037,201.8148148148148
194,721,1014,378.81481481481484,238.74074074074073
195,741,1014,254.15384615384616,207.6153846153846
196,601,1014,402.6296296296296,115.5925925925926
197,160,1014,433.55555555555554,322.48148148148147
198,720,1014,632.5555555555555,188.1851851851852
199,262,1014,231.5185185185185,208.85185185185185
200,260,1015,332.6296296296296,192.25925925925927
201,370,1015,510.81481481481484,135.59259259259258
202,150,1015,484.8888888888889,236.77777777777777
203,271,1015,422.51851851851853,283.48148148148147
204,201,1015,170.77777777777777,62.03703703703704
205,101,1015,463.48148148148147,65.48148148148148
206,143,1015,532.9629629629629,278.962962962963
207,103,1015,321.3703703703704,149.85185185185185
208,N26,1015,13.5,6.925925925925926
209,273,1015,307.81481481481484,190.2962962962963
210,N15,1015,17.61111111111111,3.462962962962963
211,N62,1015,10.648148148148149,4.518518518518518
212,7212,1015,132.40740740740742,153.96296296296296
213,270,1015,289.55555555555554,186.1851851851852
214,721,1015,313.51851851851853,229.07407407407408
215,140,1015,386.4074074074074,630.8888888888889
216,160,1015,408.0740740740741,216.1851851851852
217,720,1015,293.81481481481484,275.44444444444446
218,262,1015,276.48148148148147,175.92592592592592
219,260,1016,216.25925925925927,282.9259259259259
220,370,1016,107.51851851851852,409.6666666666667
221,150,1016,279.3333333333333,448.4074074074074
222,271,1016,377.77777777777777,334.14814814814815
223,201,1016,74.70370370370371,121.62962962962963
224,101,1016,97.85185185185185,355.51851851851853
225,143,1016,468.1111111111111,573.2222222222222
226,103,1016,85.77777777777777,246.33333333333334
227,N26,1016,14.962962962962964,5.407407407407407
228,273,1016,235.40740740740742,317.3333333333333
229,N15,1016,19.037037037037038,11.092592592592593
230,N62,1016,15.685185185185185,4.666666666666667
231,7212,1016,236.96296296296296,128.11111111111111
232,270,1016,254.66666666666666,282.2962962962963
233,721,1016,350.48148148148147,310.48148148148147
234,601,1016,389.9259259259259,232.0
235,160,1016,327.51851851851853,618.0370370370371
236,720,1016,457.6666666666667,259.6666666666667
237,262,1016,256.962962962963,268.22222222222223
238,260,1017,132.40740740740742,137.85185185185185
239,370,1017,210.7037037037037,112.74074074074075
240,150,1017,160.37037037037038,131.96296296296296
241,271,1017,171.8148148148148,176.5185185185185
242,201,1017,62.925925925925924,47.48148148148148
243,101,1017,134.40740740740742,52.925925925925924
244,143,1017,195.74074074074073,171.55555555555554
245,103,1017,135.55555555555554,106.88888888888889
246,N26,1017,2.981132075471698,2.7169811320754715
247,273,1017,98.70370370370371,107.0
248,N15,1017,3.215686274509804,1.2352941176470589
249,N62,1017,2.06,1.76
250,7212,1017,53.74074074074074,112.03703703703704
251,270,1017,126.96296296296296,132.14814814814815
252,721,1017,132.8148148148148,148.1851851851852
253,140,1017,124.22222222222223,247.40740740740742
254,160,1017,127.70370370370371,133.4814814814815
255,720,1017,143.74074074074073,236.7037037037037
256,262,1017,110.0,125.51851851851852
257,260,1018,105.11111111111111,178.8148148148148
258,N15,1018,3.2452830188679247,3.0377358490566038
259,N26,1018,1.9814814814814814,2.0925925925925926
260,N62,1018,2.5283018867924527,1.2264150943396226
261,370,1018,56.0,267.6296296296296
