stopNo,x,y
01001,126.9877498816,37.5697651251
01002,126.9965660023,37.5791830159
01003,126.9983401004,37.5826711749
01004,126.9876130976,37.5685792736
01005,127.001744,37.586243
01006,126.966893,37.566137
01007,126.97038,37.569135
01008,126.970609,37.569412
01009,126.9752507511,37.570135474
01010,126.978085488,37.570216807
01011,126.9809105247,37.5701184824
01012,126.9813906402,37.5702290311
01013,126.9855426998,37.5701386788
01014,126.9862474502,37.5702571998
01015,126.9895646721,37.5702449756
01016,126.9899877751,37.5703605443
01017,126.9947218896,37.5705069968
01018,126.9952838124,37.5706271118
01019,126.9988498093,37.570756793
01020,126.9993346185,37.5708806279
01021,127.0034638793,37.5709624756
01022,127.0057137364,37.5711272339
01023,127.0134512388,37.5723023219
01037,127.0120461121,37.5719529259
01041,127.0184514373,37.5737255179
01044,127.0196720085,37.5742434484
01101,126.9693634554,37.5875502159
01102,126.9702653687,37.5832657654
01103,126.9697701102,37.5871907861
01104,126.9710436571,37.585113193
01105,126.9725135095,37.5878519552
01106,126.9671261805,37.5921866176
01107,126.9671906625,37.5923353152
01108,126.9724613198,37.5881285775
01109,126.9711546793,37.5849663426
01110,126.9710500404,37.5803257033
01111,126.9713851083,37.5805132118
01112,126.9706209712,37.583091043
01113,126.9679907155,37.5751355316
01114,126.9713244962,37.5761834563
01115,126.97219601,37.5768666917
01116,126.9722828893,37.5776713863
01117,126.9787471496,37.5755767894
01118,126.9773193291,37.5724064843
01120,126.9763838838,37.569845398
01123,126.971248,37.570023
01125,126.975837,37.570365
01126,126.9765652658,37.5726577416
01127,126.9714842989,37.5757446636
01128,126.968188961,37.5748553458
01129,126.9765458935,37.569450752
01130,126.9819692323,37.5757260055
01131,126.9840715924,37.5760056461
01132,126.9608880061,37.6046629766
01133,126.9612198463,37.6025022799
01134,126.9587223861,37.6007325989
01135,126.958570225,37.5994133537
01136,126.9617068235,37.5981330665
01137,126.9636434993,37.5955935123
01138,126.9639574356,37.5927380599
01139,126.9651419211,37.5927861733
01140,126.9639775924,37.5955575712
01141,126.962215308,37.5981476478
01142,126.9592405649,37.5996163318
01143,126.9589342697,37.6005524553
01144,126.9614328894,37.6022680671
01146,126.9612088135,37.6047191923
01148,126.9563059978,37.6115844138
01149,126.9564575503,37.6100355035
01150,126.9562103294,37.6086098941
01151,126.9564166508,37.6083054034
01152,126.9585297928,37.6069644475
01153,126.9591017479,37.6070088003
01154,126.956482,37.61148
01155,126.9635350292,37.6043709709
01156,126.9660432906,37.6053223656
01157,126.9695663093,37.6066073749
01158,126.9729985215,37.6087663115
01159,126.9764662019,37.6104295575
01160,126.976652,37.610248
01161,126.972797,37.60819
01162,126.97,37.606517
01163,126.9676276108,37.6057787606
01164,126.9648102665,37.6045038178
01165,126.9686004828,37.568145927
01167,126.9594644024,37.5732126863
01168,126.9645273358,37.5682538056
01169,126.9675878497,37.5671081521
01171,126.9615632709,37.5711733169
01172,126.9886000241,37.5774623333
01173,126.9802681756,37.5692423794
01174,126.9849267193,37.568684389
01175,126.9906741813,37.5684371825
01176,126.9964906282,37.5688691218
01177,126.9997973605,37.5694512793
01185,126.9874612934,37.5692316483
01198,126.9973383362,37.5745325055
01199,126.9878777332,37.5771946373
01200,126.9842425956,37.5757849018
01201,126.9832244185,37.5723660209
01202,126.9828258888,37.5724858087
01203,126.9827201116,37.5746105669
01204,127.00223,37.5745
01205,127.0021442279,37.5728790133
01212,127.0021826522,37.5705596025
01213,127.0028494203,37.5698351103
01214,127.0084126252,37.5717262368
01215,127.006278812,37.5740223509
01217,127.0063433807,37.5744602778
01218,127.000533,37.575873
01219,127.002437,37.578043
01220,127.0022769364,37.5811194873
01221,127.0019395272,37.5810636257
01222,127.0019937965,37.5781296741
01223,127.0006951494,37.576119355
01224,126.9968717143,37.5788279947
01225,127.0032708172,37.5759372914
01226,127.0007246792,37.5857646257
01227,126.9993987623,37.5833334862
01228,127.0013281701,37.584022814
01229,127.0017176887,37.5845697705
01231,127.0155555279,37.5740926792
01235,127.0156014431,37.5716849566
01236,127.0158879092,37.5718984771
01238,127.015178,37.578413
01239,127.0155485759,37.5787720457
01240,127.0158023517,37.5741800523
01243,127.0227802373,37.5759288312
01245,127.0178163138,37.5737292199
01246,126.956622,37.609682
01247,126.9977437946,37.5694963125
01249,126.9974787875,37.5725807445
01250,126.9721318077,37.5699003386
01251,126.9937793705,37.5686887917
01252,127.0080377075,37.5699303868
01253,127.0129554377,37.5699975315
01254,127.0182311268,37.5709465856
01256,126.9968333463,37.5758291633
01262,127.0204373408,37.5742721533
01267,126.9831609226,37.572800338
01272,126.9763658004,37.5733335205
01277,127.002955,37.576257
01278,126.9550207178,37.6016197182
