line,station,on,off
중앙선,지평,50,41
중앙선,용문,3095,3027
중앙선,원덕,455,404
중앙선,양평,3533,3631
중앙선,오빈,354,348
중앙선,아신,864,816
중앙선,국수,1014,924
중앙선,신원,250,231
중앙선,양수,2115,2108
중앙선,운길산,938,899
중앙선,팔당,843,864
중앙선,도심,3438,2688
중앙선,덕소,7260,7118
중앙선,양정,1046,906
중앙선,도농,11154,9564
중앙선,구리,16543,16947
중앙선,양원,2259,2341
중앙선,망우,9276,9254
중앙선,상봉(시외버스터미널),6695,6452
중앙선,중랑,6733,6399
중앙선,회기,35272,33808
장항선,신창(순천향대),2943,2640
장항선,온양온천,4752,4826
장항선,배방,1095,998
장항선,아산,3444,2990
장항선,쌍용(나사렛대),3358,3168
장항선,봉명,1627,1640
일산선,대화,18177,14071
일산선,주엽,11315,11652
일산선,정발산,8911,9266
일산선,마두,9886,10209
일산선,백석,13062,13115
일산선,대곡,2127,1523
일산선,화정,22692,23513
일산선,원당,14026,13244
일산선,삼송,18627,17845
일산선,원흥,10782,9647
우이신설선,신설동,2298,2332
우이신설선,보문,1770,1845
우이신설선,성신여대입구(돈암),4305,4580
우이신설선,정릉,5032,4475
우이신설선,북한산보국문,6786,6335
우이신설선,솔샘,6436,6042
우이신설선,삼양사거리,2793,2902
우이신설선,삼양,2294,2495
우이신설선,화계,3891,3648
우이신설선,가오리,4827,4706
우이신설선,4.19민주묘지,4303,4232
우이신설선,솔밭공원,2580,2582
우이신설선,북한산우이,3414,2974
안산선,수리산,5262,4044
안산선,오이도,11467,10967
안산선,정왕,10491,11267
안산선,신길온천,2004,1835
안산선,안산,16024,14547
안산선,초지,5058,5532
안산선,고잔,10730,10427
안산선,중앙,20190,21281
안산선,한대앞,10806,10545
안산선,상록수,24628,24183
안산선,반월,5546,5172
안산선,대야미,5312,4685
안산선,산본,20934,22442
수인선,인천,1204,1972
수인선,신포,2325,2374
수인선,숭의,4244,3932
수인선,인하대,7781,7559
수인선,송도,3454,3141
수인선,연수,5771,5720
수인선,원인재,5228,5299
수인선,남동인더스파크,2520,2790
수인선,호구포,4359,4236
수인선,인천논현,7061,7341
수인선,소래포구,6133,5632
수인선,월곶,3125,2895
수인선,달월,134,80
분당선,매교,3202,3208
분당선,수원시청,12544,13949
분당선,매탄권선,5776,5463
분당선,망포,16774,15329
분당선,영통,11373,11505
분당선,청명,5326,5093
분당선,상갈,6491,5951
분당선,기흥,12127,11710
분당선,신갈,5508,5363
분당선,구성,5922,5704
분당선,죽전,19575,21884
분당선,보정,3281,2723
분당선,이매,7254,7066
분당선,오리,15497,13152
분당선,미금,19923,21456
분당선,정자,20001,21279
분당선,수내,16637,16816
분당선,서현,30684,31593
분당선,야탑,33725,35373
분당선,모란,25037,24826
분당선,태평,16071,15738
분당선,가천대,13853,15311
분당선,선정릉,9000,10023
분당선,강남구청,10569,12243
분당선,압구정로데오,16830,19002
분당선,서울숲,9645,9776
분당선,수원,10667,7031
분당선,수서,16077,16300
분당선,대모산입구,3830,3488
분당선,개포동,4079,4281
분당선,구룡,2284,2143
분당선,도곡,7474,7900
분당선,한티,15542,16794
분당선,선릉,11736,21181
과천선,범계,33818,33560
과천선,평촌,20888,20472
과천선,인덕원,31334,31187
과천선,정부과천청사,16879,16611
과천선,과천,5906,5048
과천선,대공원,4620,4913
과천선,경마공원,2831,2769
과천선,선바위,11718,9265
공항철도 1호선,영종,2417,2537
공항철도 1호선,인천공항2터미널,5576,4469
공항철도 1호선,인천공항1터미널,15001,14254
공항철도 1호선,공항화물청사,2884,3307
공항철도 1호선,운서,6782,6720
공항철도 1호선,청라국제도시,6851,6525
공항철도 1호선,검암,9691,9636
공항철도 1호선,계양,12929,11635
공항철도 1호선,김포공항,10310,7151
공항철도 1호선,마곡나루,4736,4515
공항철도 1호선,디지털미디어시티,15251,13216
공항철도 1호선,홍대입구,11436,11760
공항철도 1호선,공덕,2547,3264
공항철도 1호선,서울역,12159,9781
경춘선,춘천,2344,1996
경춘선,남춘천,2833,3097
경춘선,김유정,474,538
경춘선,강촌,749,685
경춘선,백양리,77,74
경춘선,굴봉산,197,152
경춘선,가평,2540,2577
경춘선,상천,456,471
경춘선,청평,2163,1894
경춘선,대성리,559,494
경춘선,마석,4549,4439
경춘선,천마산,1869,1718
경춘선,평내호평,7163,6990
경춘선,금곡,1920,1825
경춘선,사릉,4506,4313
경춘선,퇴계원,4344,3958
경춘선,별내,3017,2842
경춘선,갈매,3297,2841
경춘선,신내,950,1000
경인선,도화,4973,4423
경인선,중동,11564,10925
경인선,온수(성공회대입구),9181,9101
경인선,도원,4887,5089
경인선,간석,7745,7314
경인선,부개,11432,10752
경인선,소사,13531,12719
경인선,구일,13695,14915
경인선,인천,4368,3342
경인선,동인천,19304,18474
경인선,제물포,14337,13527
경인선,주안,27535,25576
경인선,동암,20694,20684
경인선,백운,10644,10467
경인선,부평,39418,42564
경인선,송내,39121,38757
경인선,부천,44057,44187
경인선,역곡,37663,36445
경인선,오류동,14357,13172
경인선,개봉,27781,28048
경의선,김포공항,2,0
경의선,문산,6108,6353
경의선,파주,2341,1809
경의선,월롱,3587,3463
경의선,금촌,7996,7922
경의선,금릉,5287,5238
경의선,운정,6874,6246
경의선,야당,5793,5505
경의선,탄현,8893,8563
경의선,일산,11390,11163
경의선,풍산,6275,5795
경의선,백마,8232,7643
경의선,곡산,690,690
경의선,능곡,4489,4132
경의선,행신,9273,8977
경의선,강매,3587,2840
경의선,화전,3977,3726
경의선,수색,2926,2964
경의선,디지털미디어시티,2504,2448
경의선,가좌,6275,5697
경의선,홍대입구,2063,2563
경의선,서강대,2640,2692
경의선,공덕,4045,3642
경의선,효창공원앞,3502,3621
경의선,신촌,1200,1578
경의선,서울역,4531,5921
경원선,소요산,5320,4869
경원선,동두천,2731,3131
경원선,보산,1774,1731
경원선,동두천중앙,4298,4033
경원선,지행,8558,8513
경원선,덕정,8246,8070
경원선,덕계,2560,2358
경원선,양주,10608,9517
경원선,녹양,5651,5366
경원선,가능,8626,8102
경원선,의정부,22571,23563
경원선,회룡,14687,14382
경원선,망월사,11573,11653
경원선,도봉산,9965,6069
경원선,도봉,7459,7188
경원선,방학,11785,11232
경원선,녹천,6114,4885
경원선,월계,8703,8024
경원선,광운대,12086,11780
경원선,석계,11669,12998
경원선,신이문,10921,9834
경원선,외대앞,14408,13849
경원선,청량리(서울시립대입구),16976,18668
경원선,왕십리(성동구청),19249,20726
경원선,응봉,2256,1894
경원선,옥수,62,37
경원선,한남,5170,4898
경원선,서빙고,2384,2278
경원선,이촌(국립중앙박물관),4896,3885
경부선,광명,2753,2158
경부선,서동탄,2049,1668
경부선,당정,9152,8726
경부선,천안,8794,7309
경부선,두정,7477,8061
경부선,직산,964,1043
경부선,성환,6860,6467
경부선,평택,14725,14528
경부선,지제,2587,2468
경부선,서정리,6240,5942
경부선,송탄,5412,5218
경부선,진위,2143,1990
경부선,오산,11007,10519
경부선,오산대,4153,4220
경부선,세마,3428,3088
경부선,병점,19569,19126
경부선,세류,4346,4011
경부선,독산,19586,20831
경부선,수원,48696,51868
경부선,화서,10211,9887
경부선,성균관대,19529,18834
경부선,의왕,11392,10801
경부선,군포,8954,8788
경부선,금정,31073,31487
경부선,명학,12799,12922
경부선,안양,33677,32914
경부선,관악,9795,8912
경부선,석수,13787,12387
경부선,금천구청,13662,13205
경부선,가산디지털단지,20773,23842
경부선,구로,24072,24915
경부선,신길,11848,9963
경부선,신도림,4547,4697
경부선,영등포,48673,51383
경부선,대방,17669,17757
경부선,노량진,14029,13424
경부선,용산,40454,41735
경부선,남영,13748,14952
경부선,서울역,4268,1000
경강선,여주,2419,2455
경강선,세종대왕릉,279,292
경강선,부발,2021,1836
경강선,이천,2672,2805
경강선,신둔도예촌,1530,1343
경강선,곤지암,2933,2717
경강선,초월,2952,2790
경강선,경기광주,7651,7454
경강선,삼동,2564,2149
경강선,이매,1791,1380
경강선,판교,4589,4458
9호선2단계,종합운동장,7560,6386
9호선2단계,봉은사,15771,15668
9호선2단계,삼성중앙,6290,6461
9호선2단계,선정릉,8501,9175
