station,lat,lng,,,,,,,,
가락시장,37.492522,127.118234,2,,,,,,,
종로3가,37.571607,126.991806,3,,,,,,,
오금,37.502162,127.128111,2,,,,,,,
동대문,37.57142,127.009745,2,,,,,,,
동대문역사문화공원,37.565138,127.007896,3,,,,,,,
충무로,37.561243,126.99428,2,,,,,,,
서울역,37.554648,126.972559,5,,,,,,,
신도림,37.508725,126.891295,2,,,,,,,
이촌,37.522272,126.974345,0,,,,,,,
왕십리,37.561533,127.037732,0,,,,,,,
시청,37.564718,126.977108,2,,,,,,,
교대,37.493415,127.01408,0,,,,,,,
신설동,37.575297,127.025087,3,,,,,,,
강변,37.535095,127.094681,0,,,,,,,
까치산,37.531768,126.846683,1,,,,,,,
을지로3가,37.566295,126.99191,2,,,,,,,
홍대입구,37.557192,126.925381,3,,,,,,,
광운대,37.623632,127.061835,1,,,,,,,
상봉,37.596362,127.085032,0,,,,,,,
망우,37.59955,127.091909,1,,,,,,,
영등포구청,37.52497,126.895951,2,,,,,,,
신길,37.517122,126.917169,2,,,,,,,
을지로4가,37.566941,126.998079,2,,,,,,,
합정,37.549463,126.913739,2,,,,,,,
공덕,37.544018,126.951592,4,,,,,,,
삼각지,37.534777,126.97311,2,,,,,,,
약수,37.55434,127.010655,2,,,,,,,
신당,37.565972,127.01782,2,,,,,,,
동묘앞,37.572627,127.016429,2,,,,,,,
석계,37.614805,127.065851,2,,,,,,,
도봉산,37.689313,127.046222,2,,,,,,,
불광,37.610469,126.929887,2,,,,,,,
연신내,37.619001,126.921008,1,,,,,,,
금정,37.372221,126.943429,1,,,,,,,
수원,37.265974,126.999874,2,,,,,,,
원인재,37.412603,126.687389,1,,,,,,,
회기,37.58946,127.057583,1,,,,,,,
대곡,37.631626,126.811024,1,,,,,,,
디지털미디어시티,37.576646,126.900984,3,,,,,,,
회룡,37.724846,127.046895,1,,,,,,,
판교,37.394761,127.111217,1,,,,,,,
오이도,37.362357,126.738714,1,,,,,,,
이매,37.396104,127.12827,2,,,,,,,
선정릉,37.51098,127.043593,2,,,,,,,
종합운동장,37.510997,127.073642,2,,,,,,,
천호,37.538397,127.123572,0,,,,,,,
창동,37.653166,127.047731,1,,,,,,,
사당,37.47653,126.981685,2,,,,,,,
노원,37.655128,127.061368,2,,,,,,,
군자,37.557121,127.079542,0,,,,,,,
건대입구,37.540693,127.07023,2,,,,,,,
고속터미널,37.50481,127.004943,3,,,,,,,
총신대입구(이수),37.486263,126.981989,1,,,,,,,
대림,37.49297,126.895801,0,,,,,,,
가산디지털단지,37.481072,126.882343,2,,,,,,,
온수,37.492258,126.823388,0,,,,,,,
부평구청,37.508336,126.720548,1,,,,,,,
잠실,37.51395,127.102234,0,,,,,,,
복정,37.470047,127.126662,1,,,,,,,
모란,37.43213,127.129087,2,,,,,,,
부평,37.489493,126.724805,1,,,,,,,
당산,37.53438,126.902281,2,,,,,,,
여의도,37.521624,126.924191,2,,,,,,,
동작,37.502971,126.979306,0,,,,,,,
김포공항,37.562434,126.801058,4,,,,,,,
강남,37.497175,127.027926,1,,,,,,,
